timestamp,gyro-alpha,gyro-beta,gyro-gamma,accel-x,accel-y,accel-z
1492899385297,0.05648733,0.014916252,0.5457503,-0.15322891,5.960365,6.2901664
1492899385395,0.08206912,1.3281153,0.584123,1.4371195,5.5467668,9.361927
1492899385495,0.031971432,-0.0074678236,-0.2760651,-0.8990227,6.323685,7.7997103
1492899385595,-0.3176465,-0.017060999,0.7951728,0.18974048,6.495469,7.2484455
1492899385695,-0.8857756,0.5425409,0.030916514,-0.1376666,5.2881927,7.3334394
1492899385795,-0.15882617,0.10232074,-0.45940134,0.4321534,5.2684407,9.145251
1492899385895,0.69816417,-0.009599641,-0.30164692,-1.5532383,5.5162406,8.182184
1492899385995,0.42742348,-0.3794699,-0.440215,-1.4502876,5.394735,7.7236943
1492899386095,0.4231598,-0.3357676,-0.22916514,-1.8501192,6.007052,7.3837175
1492899386195,0.6555279,-0.14497001,-0.09699249,-1.5412673,6.50744,7.323264
1492899386295,0.8495231,-0.25156084,0.14070508,-2.0039468,6.6157775,5.7999535
1492899386395,0.040498704,-0.0064019156,0.19293459,-1.0007763,6.831256,5.847239
1492899386496,-0.04690579,-0.0032041904,0.15243007,-1.0588356,7.4142437,6.6540847
1492899386595,-0.02558762,0.0831344,0.028784698,-0.19273323,7.413047,6.6504936
1492899386696,-0.0074671777,0.059684407,-0.13536519,-1.2593501,7.352593,6.242282
1492899386795,-0.30272382,0.15668207,0.017059706,-1.431134,6.83365,6.3667808
1492899386895,-0.11405801,0.14922072,-0.06821296,-1.3862427,7.378929,7.585429
1492899386995,0.29631677,-0.111926846,0.124716446,-0.825401,6.989273,6.306926
1492899387095,-0.13431028,0.0714094,-0.102322035,-1.0121487,7.1658454,6.25964
1492899387196,-0.28460336,0.033036698,0.029850604,-1.2384008,6.82527,5.985504
1492899387295,-0.31231695,0.11937528,-0.14495838,-1.0929531,6.941389,7.8805146
1492899387396,0.11511229,-0.015995093,0.008532439,-1.3233949,6.713341,6.5678935
1492899387495,-0.09380575,0.050091226,-0.04049935,-1.3676877,6.643311,7.028777
1492899387595,0.04156461,0.019179886,0.15669371,-1.4041992,6.712743,6.7480574
1492899387695,-0.14390345,0.052223045,-0.003192553,-0.9606734,6.894702,7.3759365
1492899387795,0.12363957,-0.057565518,0.051168773,-0.9786299,6.9102645,6.217143
1492899387895,-0.28353745,0.069277585,-0.18972652,-1.2138602,6.4823008,6.8953004
1492899387995,0.010653266,-0.06396096,0.017059706,-1.7351977,6.7779846,7.308899
1492899388096,-0.11512393,0.045827597,0.014927889,-1.115698,6.368576,7.2867527
1492899388195,0.05648733,-0.045840528,0.024521064,-1.3856442,6.7737947,7.0646906
1492899388296,-0.020258078,0.055420775,0.07035512,-1.2012906,6.5200095,6.913257
1492899388395,-0.07994895,0.17586842,0.037311967,-1.477821,6.7929487,6.648698
1492899388495,-0.06289441,0.045827597,0.13430963,-1.7962497,6.5619082,7.173028
1492899388595,-0.4018533,0.3645342,-0.21637423,-1.6897078,6.968922,6.933608
1492899388695,-0.06396032,0.15135252,-0.028774356,-1.9219453,5.9861026,8.715492
1492899388795,0.42635754,-0.018126909,0.21318686,-1.8596961,6.8138976,7.8224554
1492899388895,0.7898324,-0.084213234,0.4007867,-1.5406687,6.7450643,6.903082
1492899388996,0.4061053,0.12044118,0.3112504,-1.0887632,7.0473323,5.2953753
1492899389095,0.09699185,0.1865275,-0.0010607365,-1.212663,7.255029,5.5012765
1492899389196,-0.13431028,0.06288213,-0.10658567,-1.4879963,7.049128,5.7281275
1492899389295,-0.26754886,0.11724346,-0.045828886,-1.7872715,6.55712,6.696582
1492899389396,-0.08208077,0.050091226,0.18653914,-1.3395557,6.8121023,6.5337763
1492899389495,-0.11405801,0.018113978,0.04583923,-1.0959458,6.9282207,7.206547
1492899389596,0.05648733,0.0106526185,0.015993796,-0.8637082,6.9318123,6.314707
1492899389695,-0.22171476,0.044761688,-0.13643111,-1.1216835,6.9647326,7.0359597
1492899389795,0.009587358,-0.012797366,-0.08100387,-1.5430629,6.962937,6.7917514
1492899389895,0.014916899,-0.042642802,-0.0063902787,-1.5502455,6.9036803,6.706757
1492899389995,-0.06182851,-6.46527E-6,-0.06288343,-1.6286557,6.8222775,6.2057705
1492899390095,-0.12791483,0.060750313,-0.07141069,-1.5304934,6.873154,7.086837
1492899390195,0.0916623,-0.04903825,-0.03090617,-1.5131354,6.9234324,6.9324107
1492899390295,0.09592594,-0.047972344,-0.06821296,-1.5903484,6.8115034,6.669049
1492899390395,0.027707798,-0.0682246,-0.09486067,-1.568202,6.8168907,6.564901
1492899390496,0.07034414,-0.06396096,-0.13962883,-2.3720553,6.5942297,8.085817
1492899390595,0.15241909,-0.0298519,0.14923236,-1.2539631,6.7821746,6.2434793
1492899390696,-0.08741031,0.014916252,-0.08953114,-1.6232687,7.001244,6.6253543
1492899390795,0.04263052,0.03943215,0.035180148,-1.6382325,6.8001313,6.9078703
1492899390895,-0.07035577,-0.044774618,0.010664255,-1.5023615,6.9880757,6.6361284
1492899390995,0.06181687,0.013850343,0.024521064,-1.4502876,6.931214,6.8474164
1492899391096,-0.049037606,0.0042571686,-0.07141069,-1.5843629,6.99047,6.46614
1492899391195,0.023444165,-0.0053360076,0.041575596,-1.8327613,6.87495,6.9479733
1492899391295,0.010653266,-0.039445076,0.022389248,-1.5640122,6.9324107,6.238691
1492899391395,-0.034114886,-0.0032041904,-0.017049363,-1.6519991,6.9539585,6.9767036
1492899391495,0.05968505,0.02983897,-0.043697074,-1.6340426,6.9725137,6.250662
