timestamp,gyro-alpha,gyro-beta,gyro-gamma,accel-x,accel-y,accel-z
1494754079185,-2.4650218,-0.813862,1.2325109,1.4891934,-8.607155,6.8210807
1494754079285,-1.4839134,-2.385127,1.6692694,2.8431146,-9.281123,4.721366
1494754079385,-1.071656,-1.4998924,0.6988135,4.4675803,-9.141062,4.8853683
1494754079485,-0.531567,-0.47297743,-0.64555025,4.915296,-11.506534,5.183447
1494754079585,0.020240024,-0.056459017,-1.3219932,4.796783,-11.777079,4.132392
1494754079685,0.35579833,1.1675298,-1.3475596,3.8642416,-11.563994,2.3822308
1494754079785,0.5901565,2.0591562,-1.4029533,2.408567,-9.941922,1.163582
1494754079885,0.6870956,1.7715348,-0.9470201,1.6196774,-9.1350765,1.6232687
1494754079985,0.5187838,1.293231,-0.08735169,1.1432313,-7.9427643,1.5969325
1494754080084,-0.010652645,0.5539375,0.72651035,0.760159,-8.752005,1.1097125
1494754080185,-0.82877576,-2.0037625,2.1582258,1.400608,-11.900379,0.8583213
1494754080284,-0.7755125,-0.18855181,1.320928,2.007538,-10.290278,2.6779146
1494754080384,-0.85966843,-1.5851135,1.0396981,0.997185,-9.356541,2.657564
1494754080485,-0.85327685,-1.4668691,0.81705785,2.5558102,-8.01459,3.5972881
1494754080585,-0.79042625,-0.1768339,0.56672066,2.0362685,-8.018182,3.5924997
1494754080685,-0.664725,0.4048005,0.035153728,3.2573113,-8.435969,5.1223946
1494754080784,0.21092236,-0.16831179,-0.56245965,2.2098482,-13.358448,3.7205894
1494754080885,0.77231675,0.015978966,-1.7576864,2.566584,-13.457808,2.4480712
1494754080985,1.1781825,1.2751216,-1.953695,2.0278888,-11.862072,2.219425
1494754081085,1.3475596,1.3901701,-1.9995013,0.79846627,-9.793482,1.2797008
1494754081184,1.1068097,0.8149273,-1.0098706,0.93254155,-7.639898,1.292869
1494754081285,0.3888215,0.56672066,-0.06178534,1.0115502,-6.683414,1.6831238
1494754081384,-0.67218184,-0.38456047,1.1952267,0.7015011,-11.140221,2.8814218
1494754081485,-1.0759171,-0.36964676,2.0676782,1.5945383,-10.548853,4.8015714
1494754081584,-0.644485,-4.081028,1.7928401,1.1312603,-10.746374,0.10175357
1494754081685,-0.5592638,-1.1536814,1.7289242,3.6631286,-9.139865,2.6372132
1494754081784,-0.8341021,0.008522116,1.3454291,3.726575,-8.118738,2.790442
1494754081885,-0.7797736,0.2695119,0.39840892,3.7900212,-7.93199,3.5326445
1494754081985,-0.29507825,0.36218992,-0.76059884,2.5246856,-10.649409,2.2349873
1494754082085,0.38242993,0.3685815,-1.6618125,2.7688942,-11.295844,1.6400281
1494754082185,0.6146576,1.071656,-2.0037625,2.6862943,-13.43626,2.244564
1494754082285,1.1334413,1.2985574,-2.118811,0.8295909,-11.3138,0.81881696
1494754082385,1.325189,0.165116,-1.7342505,0.6584055,-10.044873,1.6711528
1494754082485,0.89588743,0.33768883,-0.8831042,0.63206923,-6.6247563,2.895787
1494754082586,0.2130529,0.043675844,0.90014845,-0.04189853,-6.4104753,2.6024973
1494754082685,-0.24820662,-1.2612731,2.6003106,2.3211784,-14.176068,2.658761
1494754082785,-0.00958738,-1.5425029,1.8780613,2.9771898,-11.620258,1.6316484
1494754082885,0.35899413,-3.2362735,1.4998924,3.1902738,-7.9355817,0.46686932
1494754082986,0.36964676,-3.8733015,1.3496901,3.6834793,-8.257602,-0.1340753
1494754083085,-0.16192019,-2.67914,1.8034927,4.7548847,-7.37055,2.7605145
1494754083184,-0.25672874,0.70627034,1.3262542,5.708974,-9.691729,3.5625722
1494754083285,0.10865697,-0.86606,0.26312032,4.8542438,-12.557588,3.9240966
1494754083384,0.5028048,0.07137272,-1.0492855,3.8402996,-12.780249,3.2968156
1494754083485,0.83729786,0.6711166,-1.5361114,1.8579005,-9.551667,2.5450363
1494754083585,0.8948221,0.7957525,-1.3848438,1.292869,-8.825027,1.9393034
1494754083685,0.58483016,0.76272935,-0.4910869,1.0067618,-7.2388687,2.1080947
1494754083785,0.11824436,0.34514567,0.5134575,0.40102878,-8.127118,1.6208745
1494754083885,-0.34621096,-1.2559468,1.8716697,0.7218518,-13.200431,1.5346833
1494754083985,-0.6061355,-1.7097495,1.8951055,2.8658595,-11.159374,3.618836
1494754084084,-0.6498113,-1.6522251,1.0141318,1.3910311,-8.548497,2.4959552
1494754084185,-0.51452273,-0.45806372,1.1185277,2.7389667,-7.383718,3.4165258
1494754084285,-0.42717105,-0.23755397,0.64555025,2.208651,-7.6015906,3.1172507
1494754084385,-0.4293016,0.34621096,-0.096939065,3.0490158,-8.805874,3.8414967
1494754084485,0.165116,-0.007456851,-0.680704,2.8658595,-14.281413,3.833117
1494754084584,0.4314321,-0.0628506,-1.6053536,2.5234885,-13.007698,2.2948422
1494754084685,0.65726817,1.4530207,-1.716141,2.2110453,-10.315418,1.2042835
1494754084785,0.753142,1.3262542,-1.4988271,1.3311762,-9.427169,0.8738836
1494754084885,0.716923,0.8117315,-0.98430437,1.2150574,-7.690176,1.3838485
1494754084985,0.36325517,0.6125271,-0.20026971,0.6392518,-8.425196,1.377863
1494754085084,-0.5049353,-0.5965481,1.4391723,0.830788,-11.263522,1.7908629
1494754085185,-0.8064052,-0.19387813,1.8716697,1.3455414,-12.075156,2.7736826
1494754085285,-0.6562029,-1.438107,1.2250541,1.1228806,-9.836577,2.372654
1494754085385,-0.61572284,-1.128115,0.95128113,2.4708161,-7.8757267,3.2920272
1494754085485,-0.64768076,-0.26631612,0.8990832,2.3642743,-6.951565,3.0813377
1494754085585,-0.6103965,0.33768883,0.6146576,3.3303347,-9.17099,3.834314
1494754085685,0.13635385,-0.16831179,-0.5656554,3.5913026,-13.657723,3.357868
1494754085784,0.08735169,-0.034088463,-1.5595472,3.1519666,-13.226768,2.4277205
1494754085885,0.60507023,2.4213462,-1.5169365,2.6491842,-9.3026705,0.7565677
