timestamp,gyro-alpha,gyro-beta,gyro-gamma,accel-x,accel-y,accel-z
1494753809797,-0.14168017,-1.9579561,0.3291667,9.006987,-4.3035774,4.5286326
1494753809896,0.18748654,-1.845038,0.3355583,9.2308445,-5.741296,2.8191724
1494753809997,1.4104102,-2.7462518,0.07563378,8.998607,-5.7017913,2.27928
1494753810097,1.2974921,-0.96406436,-0.043675844,7.455544,-5.8598084,1.8303672
1494753810197,1.2516857,-0.41758367,0.9139969,6.727707,-5.542577,-0.59136784
1494753810297,0.6135923,-0.39734364,0.96299905,7.3202715,-7.1909847,2.6252422
1494753810396,0.13102753,0.3323625,1.3688648,7.117962,-5.392939,1.0307038
1494753810497,0.5837649,-0.42717105,1.1430287,6.9599442,-6.1626754,1.3084313
1494753810597,1.0801781,-1.3401027,0.59761333,8.101978,-4.2580876,0.59256494
1494753810697,0.62317973,-1.1707256,0.7882957,10.893618,-6.3697734,0.58298814
1494753810796,0.17470337,-0.19600865,-1.0535465,11.142614,-6.4404025,0.9648633
1494753810897,-0.29933932,0.24607609,-1.3773869,8.371326,-5.943606,-0.45130703
1494753810997,-0.4261058,0.41864893,-0.21198763,4.355053,-8.941146,1.2808979
1494753811097,-0.15765914,0.22796659,-0.6146576,3.3327289,-11.262324,0.48722005
1494753811196,0.099069595,-0.22796659,-0.6348976,6.7923503,-9.68694,3.1292217
1494753811297,0.4101268,-0.18961707,0.0127831735,4.667496,-8.461109,1.4999673
1494753811397,0.28122982,-0.34088463,1.5211977,4.4244847,-7.715315,2.5558102
1494753811497,0.02876214,0.34621096,2.2008364,4.0198646,-7.5285673,1.7070658
1494753811597,-0.06391586,0.35473305,2.263687,8.173804,-6.9731126,1.9177556
1494753811696,0.44847634,-0.054328486,1.7086842,8.832211,-8.480263,-0.40581718
1494753811797,0.14594123,-1.0450244,-0.54435015,8.186973,-9.029732,2.1990743
1494753811897,-0.1257012,0.26418558,-1.4199976,8.365341,-7.28795,2.3319526
1494753811997,-0.06711166,0.4889564,-1.9622171,8.183381,-9.4535055,1.2665327
1494753812096,-0.26205507,0.43249738,-2.1763353,4.9536033,-9.175778,1.5478514
1494753812197,-0.19600865,0.69774824,-0.06178534,2.1523874,-10.180145,2.2816741
1494753812297,-0.017044231,0.60080916,-0.43888897,3.6128504,-10.120291,1.9716251
1494753812396,0.096939065,-0.21731395,-0.0479369,2.5965118,-9.554062,2.815581
1494753812497,0.014913702,0.10226539,0.8159926,3.4105403,-8.98903,3.7217865
1494753812598,-0.05752428,-0.19281286,1.3965617,2.8395233,-6.9647326,3.0466216
1494753812697,-0.09374327,-0.61572284,1.8663434,6.172252,-8.039729,2.0015526
1494753812797,-0.14168017,0.34088463,1.5957662,8.350976,-7.5884223,1.7776948
1494753812896,0.07456851,-0.24501082,0.09374327,7.9726915,-7.727286,0.37708676
1494753812997,0.023435818,-0.67963874,-0.8969527,8.409634,-6.4846954,2.110489
1494753813097,-0.16298546,0.0010652645,-1.627724,9.546879,-8.414422,0.7673417
1494753813197,-0.13848437,0.680704,-2.1816616,6.5505357,-10.411186,2.4301147
1494753813298,-0.34621096,0.47297743,-0.9438243,3.2034419,-11.150994,4.2054152
1494753813397,0.046871636,0.4016047,-0.6668556,2.7210102,-9.994595,2.5929205
