timestamp,gyro-alpha,gyro-beta,gyro-gamma,accel-x,accel-y,accel-z
1494172691855,-1.2633972,0.43995667,1.6170654,10.300354,-7.986328,-2.2601013
1494172691956,-1.339035,1.7694092,-1.4903107,9.756866,-13.404404,0.7949066
1494172692056,-0.31211853,0.6370239,-2.3510437,3.0028229,-12.468277,0.7877197
1494172692155,0.28656006,1.0333099,-0.74035645,5.466461,-9.245682,-1.5035248
1494172692256,1.2335815,-1.2357025,-0.86605835,7.901367,-5.065399,1.3886719
1494172692356,0.7755127,0.13635254,-0.431427,5.547867,-6.753311,0.33042908
1494172692455,0.6743164,-1.1536865,0.6785736,7.7218018,-3.0279388,1.139679
1494172692556,0.35473633,-0.56777954,2.0090942,8.380203,0.62083435,0.21791077
1494172692655,-1.5989685,0.48576355,0.9342346,14.47345,-3.2984772,-4.970337
1494172692755,-1.8748627,1.737442,-1.514801,13.759979,-13.062027,-0.28248596
1494172692856,-0.6444855,1.8567505,-0.83410645,2.99086,-9.995056,1.3958588
1494172692955,0.08947754,-0.85754395,-1.3049469,7.585327,-7.6750793,2.80365
1494172693056,0.6093292,-0.0095825195,-0.6551361,3.5175781,-7.694229,2.5402832
1494172693155,0.9491577,-0.33555603,0.4825592,6.859894,-5.1659546,2.3822632
1494172693256,1.1089478,-1.6192017,2.3659515,8.085724,-0.86117554,0.31367493
1494172693355,-0.0745697,0.10546875,2.3627625,12.175018,-1.7925262,-5.3558044
1494172693456,-1.9228058,0.794693,-0.2982788,10.314728,-4.081375,-2.2768555
1494172693555,-1.0460968,2.4309387,-3.23201,10.104034,-15.669312,4.02948
1494172693656,0.38562012,0.7328949,0.13209534,3.907837,-9.827469,1.7837067
1494172693755,1.3049469,-1.3124084,-1.019455,10.089661,-4.7733,3.227417
1494172693856,1.38591,-0.123565674,-0.13742065,4.6213074,-4.634445,0.19874573
1494172693955,0.9342346,-0.3206482,1.2431641,7.4847717,-2.3791046,0.35437012
1494172694056,1.3230591,-1.8812561,2.1070862,11.162277,0.57055664,-1.8770294
1494172694155,-0.41119385,0.7510071,1.4146729,13.367325,-5.66156,-3.1698914
1494172694256,-1.6021576,1.5574188,-0.9384918,13.257202,-9.779587,0.95292664
1494172694356,-0.8287811,1.6468964,-1.8812561,5.0522614,-10.586426,1.0726318
1494172694455,0.5624542,-0.6828308,-0.68496704,5.44252,-9.67424,4.326355
1494172694556,1.0908356,0.5475464,-0.5816345,2.528778,-6.341507,3.7589264
1494172694655,0.53263855,0.3440857,1.3954926,5.308441,-2.7813263,1.6065369
1494172694755,0.12889099,-1.0205231,2.532135,8.437668,-0.6696472,2.3439484
1494172694855,-1.1749878,1.1014862,1.6010895,11.653076,-5.75972,-2.0901031
1494172694955,-1.9611511,0.47190857,-1.2495575,10.6618805,-9.844223,-0.21543884
1494172695055,-1.0151978,0.84368896,-3.5228271,8.279648,-11.082031,5.1786957
1494172695156,0.090545654,2.1720734,-0.44953918,0.48173523,-8.046173,4.908142
1494172695255,0.6093292,0.61465454,-1.0673981,8.935669,-5.02948,2.3247986
1494172695356,0.2982788,-0.316391,0.39094543,6.373871,-2.0175781,1.3958588
1494172695456,0.4271698,-0.6263733,1.9100189,7.7768707,-0.06629944,1.4748535
1494172695555,0.111846924,0.40693665,2.3244019,10.458374,-4.665573,-0.07897949
1494172695656,-1.2985535,-0.52197266,0.34194946,12.759201,-4.3902283,-0.27290344
1494172695755,-1.399765,1.8769989,-1.4796448,13.147064,-12.820221,2.4277496
1494172695855,-1.0269165,1.8887177,-2.420288,4.046707,-7.1028595,-0.8020325
1494172695956,0.1533966,0.16618347,-0.6785736,5.418579,-7.14357,3.543457
1494172696055,0.44528198,0.40161133,-0.6029358,4.338791,-4.9121704,3.0909424
1494172696156,0.104400635,0.14167786,0.59121704,4.2957,-6.6360016,2.607315
1494172696256,0.0021362305,-0.6466217,1.7225342,8.215012,-4.380661,3.3088226
1494172696355,-0.1214447,-1.2037506,2.784607,7.8989716,-2.5443115,1.5897827
1494172696456,-0.73184204,0.26844788,1.6128082,9.275635,-6.2241974,-1.8961792
1494172696556,-1.2367706,0.17364502,-0.051132202,10.221344,-7.3997498,-0.10292053
