timestamp,gyro-alpha,gyro-beta,gyro-gamma,accel-x,accel-y,accel-z
1494169463589,-0.43356323,-0.3802948,-0.43569946,2.6317291,-9.585648,3.955246
1494169463688,-0.34301758,0.015975952,-0.01171875,2.3492126,-8.218567,3.203476
1494169463789,-0.09375,0.5507355,0.14807129,2.370758,-9.640717,3.3088226
1494169463888,-0.026626587,0.050064087,-0.2268982,2.583847,-10.768387,2.5690155
1494169463989,-0.08203125,0.43356323,-0.25779724,1.9350128,-8.726135,3.0095367
1494169464089,-0.19813538,0.30786133,0.25779724,2.1217651,-7.605652,2.5091553
1494169464188,-0.49002075,1.1376953,1.0929565,2.8519897,-8.134766,2.2697296
1494169464288,-0.36006165,1.4381104,1.0556793,3.658844,-9.839432,2.0614471
1494169464390,-0.14167786,1.3560791,-0.34088135,3.7522125,-9.91127,1.029541
1494169464489,-0.08522034,1.9686127,-0.79148865,3.6875763,-10.514603,0.50520325
1494169464588,-0.022369385,3.7071228,-0.687088,3.7881317,-12.813034,-0.6679535
1494169464689,0.5336914,3.6357422,-1.2144012,2.0475464,-10.256027,-0.40937805
1494169464788,0.89375305,1.6000214,-1.3880463,1.9996643,-8.829086,-0.5554199
1494169464889,0.83836365,0.33555603,-0.7243805,1.8823395,-8.323914,-0.6296387
1494169464989,0.33876038,-0.7776489,-0.5464783,2.0547333,-10.387711,-0.8092041
1494169465088,-0.6242523,-1.4998932,-0.100128174,1.8200989,-9.406082,1.9680634
1494169465189,-0.5933533,0.5667267,0.38668823,1.5926514,-10.9288025,3.0670013
1494169465288,-0.6593933,-1.1036072,1.0855103,1.7698212,-6.990341,3.0598145
1494169465388,-0.69029236,0.059661865,2.1454468,2.9788818,-9.092453,2.0590515
1494169465489,-0.4974823,0.36645508,1.4668732,3.7665863,-10.021393,2.8395538
1494169465588,-0.08735657,0.46018982,-0.19387817,3.8312225,-10.361374,2.317627
1494169465688,-0.13528442,0.74035645,-0.6316986,3.8096771,-12.276733,0.8451843
1494169465789,0.16511536,3.42482,-0.69348145,4.0850067,-12.79628,-0.16278076
1494169465888,1.0471497,2.6546326,-2.1145477,1.8871307,-12.49939,0.18917847
1494169465989,1.3070831,0.15872192,-2.6056366,1.6932068,-9.571289,-0.4907837
1494169466089,1.0450287,0.02557373,-1.861023,1.3652039,-6.6910553,-0.39022827
1494169466188,0.4005432,-0.33343506,-0.23542786,1.0874634,-7.9958954,0.4190216
1494169466288,-0.6466217,-1.51268,2.675949,1.4394226,-9.63353,2.4588776
1494169466389,-0.49320984,-0.574173,3.2884674,3.100998,-15.841705,2.5019684
1494169466488,-0.2514038,-1.9750061,1.7949677,3.1464844,-9.276794,1.2905121
1494169466589,-0.14167786,-0.9779053,1.4562225,3.354782,-8.32869,0.361557
1494169466688,-0.33236694,-1.1931,1.239975,3.8455963,-8.56572,1.9489136
1494169466789,-0.31851196,0.46018982,0.30999756,5.114517,-11.6015625,2.504364
1494169466888,-0.06391907,0.79042053,-1.2229309,4.1951447,-11.671005,2.0518646
1494169466989,0.18962097,3.23201,-1.7140045,3.6468658,-13.842545,0.42381287
1494169467089,1.0237122,2.5363922,-2.375534,1.8177032,-12.063644,0.026367188
1494169467188,1.2207947,0.47297668,-2.453308,1.5064545,-9.269623,-0.4476776
1494169467289,0.81066895,-0.04899597,-1.6202698,1.4873047,-6.899353,-0.79244995
1494169467388,-0.15553284,-0.3994751,-0.078826904,1.3388672,-7.6128235,0.62013245
1494169467488,-0.9001465,-1.2495575,2.5417175,1.3149109,-9.971115,2.4062042
1494169467589,-0.6082611,-0.67004395,2.817627,3.1776123,-15.080338,1.7884979
1494169467688,-0.4740448,-1.5275879,1.6138763,3.0267792,-8.769226,1.2138977
1494169467789,-0.3249054,-1.2612762,1.5883026,2.8280487,-8.62558,1.0367279
1494169467888,-0.31851196,-1.6692657,1.4583435,4.3723145,-9.482697,1.9201813
1494169467989,-0.14060974,0.05645752,-0.22264099,4.1664124,-12.535309,2.3487396
1494169468088,0.30360413,1.1931,-1.4359741,4.4752655,-9.85141,1.2617798
1494169468188,0.7776489,2.7686157,-1.9398499,3.196762,-14.072388,0.495636
1494169468289,1.2687225,1.4945679,-2.7324066,1.812912,-11.654236,-0.3351593
1494169468388,1.2516785,0.37817383,-2.4160156,1.4633636,-8.759659,-0.33755493
1494169468488,0.7435608,-0.11717224,-1.5851135,1.1473236,-7.828308,-0.2705078
1494169468588,-0.20452881,-0.3259735,0.6647186,1.0132446,-8.060547,1.3719025
1494169468689,-0.93955994,-1.8535614,3.1958008,1.247879,-10.971893,2.0638275
1494169468788,-0.56777954,-0.9193268,3.3609161,3.0531158,-12.528122,1.4197998
1494169468889,-0.4239807,-1.4285126,2.0133514,3.8312225,-10.476288,0.57225037
1494169468988,-0.5028076,-1.5893707,1.4114685,3.5439148,-9.37735,1.1803741
1494169469089,-0.48788452,-0.3536682,1.0631409,5.5335083,-9.27919,2.9688416
1494169469188,-0.03515625,0.31318665,-0.8447571,4.0012054,-12.762756,3.093338
1494169469289,0.51771545,2.4245453,-1.9920502,4.144867,-12.9543,0.26818848
1494169469388,1.2197266,2.6471863,-2.6354675,2.3396301,-13.890427,-0.08377075
1494169469489,1.4711304,1.0460968,-2.9997864,1.6094055,-10.507416,-0.5889435
1494169469588,1.2239838,0.39201355,-2.295639,1.2550659,-7.495514,-0.9815979
1494169469689,0.3217163,-0.28123474,-0.8500824,1.0180359,-6.899353,-0.38783264
1494169469788,-1.2048187,-1.3731232,2.197647,1.3675842,-8.831482,1.7070923
1494169469889,-0.9576721,-0.45274353,3.7646484,1.9996643,-17.292587,3.2657166
1494169469988,-0.22583008,-3.4280243,2.3190765,3.014801,-10.335037,1.7980804
1494169470089,0.1491394,-1.1835022,1.7576904,3.1440887,-9.054138,0.3184662
1494169470188,-0.12463379,-1.6394348,1.861023,3.9509277,-9.164276,1.0630646
1494169470289,-0.25354004,-0.38775635,0.85647583,5.6172943,-13.160187,1.7621613
1494169470388,-0.09375,1.4178619,-1.4359741,4.939743,-9.422852,1.5059814
1494169470488,0.45700073,3.4663696,-2.0602264,3.4720917,-14.110687,0.43338013
1494169470589,1.2666016,2.3968506,-2.6130981,1.6141968,-11.773956,-0.15319824
1494169470688,1.4146729,0.48788452,-2.4447784,1.4681396,-8.84584,-0.81399536
1494169470789,0.9065399,0.030899048,-1.7129517,1.4729309,-9.164276,-0.60809326
1494169470888,-0.08628845,-0.42610168,-0.14381409,1.030014,-9.202576,0.8619385
1494169470989,-0.76486206,-0.82025146,1.7651367,1.030014,-8.383759,2.7150574
1494169471088,-0.6178589,-1.4689941,2.916687,1.757843,-11.996613,2.135666
1494169471188,-0.38136292,-1.957962,2.6471863,3.6779938,-9.932816,0.68955994
1494169471289,-0.36538696,-1.116394,1.798172,3.6755981,-9.923233,1.4437408
1494169471388,-0.28549194,-0.73609924,1.1398315,5.0833893,-9.808319,2.1620026
1494169471489,-0.17044067,-0.088409424,-0.17790222,5.7322235,-14.290253,2.1452332
1494169471588,0.2237091,2.3009644,-1.9568939,4.0850067,-12.307861,0.86912537
1494169471688,0.8681946,2.6887207,-2.7494507,2.480896,-13.423553,-0.10771179
1494169471789,1.1398315,1.7544861,-2.7760773,1.6692657,-10.552902,-0.5602112
1494169471888,1.09935,0.667923,-2.0655518,1.302948,-7.3590393,-0.47880554
1494169471989,0.44421387,0.031951904,-1.0141296,1.2670288,-7.9049225,0.012008667
1494169472089,-0.48788452,-0.49960327,1.2144012,0.88635254,-9.530579,1.649643
1494169472188,-1.06633,-1.5211945,3.0775452,1.8727722,-12.1115265,2.669571
1494169472288,-0.67004395,-1.3283844,2.5662231,2.4401855,-11.089203,1.4485168
1494169472389,-0.42930603,-1.671402,1.5808563,3.5534973,-9.427628,0.5890045
1494169472489,-0.48788452,-1.1579437,1.5329132,3.852768,-8.702194,1.8722992
1494169472588,-0.30999756,0.40161133,0.90867615,5.626877,-11.558472,2.9089813
1494169472688,0.17044067,0.46339417,-1.1249237,5.0019836,-12.226456,2.0542603
1494169472789,0.43356323,2.4810028,-2.0431824,3.4840698,-14.074783,0.6177368
1494169472888,0.8021393,2.3947144,-2.739853,1.891922,-10.730087,-0.20347595
1494169472988,1.0471497,1.35289,-2.1720734,1.6716614,-9.360596,-0.24417114
1494169473088,0.97257996,0.20133972,-1.4008179,1.405899,-8.582474,-0.34951782
1494169473188,0.10758972,-0.7787018,-0.26312256,1.4873047,-7.6439514,0.82603455
1494169473289,-0.45806885,-0.86180115,1.9867249,1.19281,-9.8298645,2.0279236
1494169473389,-0.67004395,-1.5808563,2.8932648,2.7801666,-13.617493,2.255371
1494169473488,-0.45274353,-1.2580719,2.0964355,2.6221466,-9.207367,1.7789307
1494169473589,-0.22796631,-1.8674011,1.5403748,3.4840698,-9.262436,0.95532227
1494169473688,-0.3526001,-0.9342346,1.4455566,4.3363953,-9.3246765,2.4828186
1494169473788,-0.08735657,0.12889099,0.06498718,4.37471,-12.147446,2.808426
1494169473889,0.18748474,0.8958893,-1.3571472,4.647644,-10.342224,1.67836
1494169473988,0.38562012,2.8879395,-1.9153442,3.4984283,-14.247162,0.5937958
1494169474088,0.9502106,2.1710052,-2.3435822,1.7243195,-10.804306,0.050308228
