timestamp,gyro-alpha,gyro-beta,gyro-gamma,accel-x,accel-y,accel-z
1494169097348,-0.34301758,-0.6977539,0.6316986,2.7322845,-11.022171,9.394882
1494169097447,0.31425476,-0.36645508,1.2463531,4.508789,-7.8642273,2.2960663
1494169097548,0.36325073,0.3536682,0.08735657,6.742569,-7.9456177,4.915329
1494169097647,0.61253357,-0.5432892,0.48788452,4.283722,-5.594513,5.679077
1494169097748,0.44102478,-0.43463135,0.87564087,3.1871796,-5.7238007,4.9105377
1494169097848,0.1299591,-0.5699158,0.60614014,3.5439148,-4.9432983,3.5075378
1494169097947,-0.7520752,-0.94062805,0.70414734,7.041855,-8.982315,1.6400604
1494169098048,-0.8042755,-0.1448822,-0.31105042,10.197403,-12.097168,-0.9863739
1494169098148,-0.86286926,-0.827713,-2.6514435,11.98587,-11.405243,1.1277008
1494169098247,-1.1068115,0.01171875,-2.166748,5.5335083,-8.347855,1.3407898
1494169098348,0.2929535,-0.80960083,-1.4785919,8.104874,-6.8371124,2.0398865
1494169098447,1.3507538,-0.3483429,-0.82450867,6.220642,-1.7829437,3.0191193
1494169098548,1.1014862,0.40480042,0.6370239,6.907776,-2.855545,1.4964142
1494169098647,0.7616577,1.050354,1.3901672,9.574921,-4.93132,0.9601135
1494169098750,0.30892944,0.7190552,1.5467682,7.6188507,-4.7709045,1.0941772
1494169098853,0.024505615,0.48043823,1.6405029,9.15593,-6.293625,2.1117249
1494169098948,0.13316345,0.0053253174,0.8319702,6.9221344,-6.013504,4.472397
1494169099047,0.31851196,-0.2268982,-0.07243347,6.5031586,-6.6120453,3.8810272
1494169099148,-0.010650635,-0.06817627,-0.14593506,4.4130096,-6.147583,2.8491364
1494169099248,-0.20985413,0.038345337,0.01171875,4.793686,-5.417343,4.065384
1494169099348,-0.3291626,0.6647186,-0.22903442,6.627655,-8.316727,3.8115997
1494169099447,-0.7531433,1.1153259,-0.3067932,4.575821,-8.362213,1.2521973
1494169099548,-0.66259766,0.07989502,-0.07775879,10.290787,-10.995834,-1.3287506
1494169099648,-1.083374,-0.37496948,-2.1859283,9.151138,-10.780365,0.39268494
1494169099747,-1.6298523,-0.20559692,-2.2445068,6.804825,-10.818665,3.5961304
1494169099848,-0.029830933,-0.32383728,-1.8162689,5.863907,-5.0342712,2.4062042
1494169099948,0.56033325,-0.16937256,-0.49002075,4.501602,-2.3551636,3.3231812
1494169100047,0.14167786,0.56033325,1.2697906,4.4824524,-2.8148499,1.8675079
1494169100148,-0.1533966,-0.74568176,2.7931213,7.4943542,-5.4101562,0.22747803
1494169100248,-0.5805664,0.26419067,-0.6040039,17.435074,-11.405243,-0.062210083
1494169100348,-1.1909637,-0.17790222,-1.6777954,6.869461,-4.4668427,-1.0127106
1494169100447,-0.9949646,0.20133972,-1.0780487,7.5637817,-9.69339,3.2968445
1494169100548,0.1491394,0.302536,-0.8362274,6.723419,-5.6639557,-0.32318115
1494169100647,0.3302307,0.5230408,-0.33236694,4.8655243,-3.5762024,2.9640503
