timestamp,gyro-alpha,gyro-beta,gyro-gamma,accel-x,accel-y,accel-z
1494169283677,-0.64234924,-2.03891,1.335846,3.5774384,-10.351791,2.207489
1494169283776,-0.6231842,-1.6916351,1.0460968,3.9748688,-10.224899,1.618515
1494169283877,-0.4772339,-0.8042755,0.64767456,3.6684113,-9.997452,2.5618286
1494169283976,-0.08628845,-0.51452637,0.1214447,3.7258759,-9.734085,2.5307007
1494169284077,0.18748474,0.019180298,-0.3302307,3.3763275,-9.51622,1.7789307
1494169284176,0.2790985,0.18429565,-0.6775055,2.8974915,-9.623962,1.1372833
1494169284277,0.21838379,0.25672913,-0.7435608,2.6101837,-9.61438,0.8811035
1494169284376,0.067108154,0.42930603,-0.5933533,2.3444214,-9.221725,0.9289856
1494169284476,-0.0703125,0.28762817,-0.18855286,2.2055664,-8.996674,1.1851654
1494169284577,-0.12783813,0.08628845,0.2311554,2.3875275,-9.099625,1.3359985
1494169284676,-0.14381409,-0.0095825195,0.511322,2.8831177,-9.384537,1.2258606
1494169284777,-0.0745697,-0.0010681152,0.20878601,3.1392975,-9.853806,1.515564
1494169284877,0.06071472,-0.09375,-0.0980072,3.0195923,-9.288773,1.3383942
1494169284976,0.026626587,0.06604004,-0.07670593,2.8400269,-9.233704,1.1372833
1494169285077,0.007461548,-0.02130127,-0.11824036,2.698761,-9.444397,1.1971283
1494169285176,0.034088135,-0.09375,-0.14274597,2.559906,-9.334259,1.3407898
1494169285277,0.031951904,-0.11930847,0.030899048,2.7083435,-9.2408905,1.302475
1494169285376,0.0,-0.11717224,0.15020752,2.9549408,-9.169067,1.1109467
1494169285477,-0.04473877,-0.029830933,0.1299591,3.14888,-9.432419,1.0941772
1494169285576,-0.003189087,-0.06285095,-0.10119629,3.1297302,-9.224121,1.1947327
1494169285677,-0.029830933,0.069244385,-0.03515625,3.045929,-9.272018,1.2067108
1494169285776,-0.004257202,0.10333252,-0.08522034,2.8376312,-9.427628,1.2450104
1494169285877,-0.030899048,0.1533966,0.015975952,2.8400269,-9.300735,1.1588287
1494169285976,-0.012786865,0.045806885,-0.034088135,2.856781,-9.468338,1.2450104
1494169286076,0.026626587,-0.004257202,-0.046875,2.7586212,-9.212158,1.1157227
1494169286177,0.017044067,-0.019180298,0.0021362305,2.7705994,-9.396515,1.2833252
1494169286276,0.051132202,-0.090545654,-0.0021362305,2.83284,-9.262436,1.2067108
1494169286377,-0.0053253174,-0.014907837,0.0745697,3.0674744,-9.195389,1.0917816
1494169286476,-0.0095825195,-0.031951904,-0.029830933,3.1345062,-9.43721,1.1755829
1494169286577,-0.003189087,0.03727722,-0.06285095,3.0650787,-9.214554,1.2043152
1494169286676,-0.01171875,0.0745697,-0.06071472,2.9190369,-9.384537,1.0941772
1494169286776,0.004257202,-0.042617798,-0.06604004,2.8232727,-9.509033,1.271347
1494169286877,0.012786865,-0.026626587,0.014907837,2.7274933,-9.149902,1.1755829
1494169286976,-0.047943115,0.0063934326,0.16404724,3.0890198,-9.216949,1.0558777
1494169287077,-0.045806885,0.039413452,0.050064087,3.2350616,-9.382141,1.1803741
1494169287176,0.02130127,0.040481567,-0.10546875,3.14888,-9.374954,1.1779785
1494169287277,0.038345337,0.036224365,-0.15660095,2.8136902,-9.226517,1.0103912
1494169287377,0.0063934326,0.012786865,-0.053268433,2.6652527,-9.41806,1.1061554
1494169287477,-0.0063934326,-0.10972595,0.06817627,2.7083435,-9.080475,1.0941772
1494169287576,-0.03727722,-0.0234375,0.18322754,3.1153564,-9.382141,1.2737427
1494169287677,0.007461548,-0.01171875,0.03515625,3.3404083,-9.410873,1.1779785
1494169287776,0.04473877,0.050064087,-0.0980072,3.117752,-9.422852,1.108551
1494169287877,0.0063934326,0.11079407,-0.0745697,2.8352356,-9.33905,1.139679
1494169287976,-0.003189087,0.014907837,-0.03515625,2.7203217,-9.097229,1.16362
1494169288077,-0.04899597,0.07350159,0.11930847,2.8304443,-9.310318,1.2450104
1494169288176,-0.020233154,0.03727722,0.022369385,3.0076141,-9.41806,1.2282562
1494169288277,0.012786865,0.0745697,-0.05859375,2.8615723,-9.564102,1.24263
1494169288376,0.046875,-0.03727722,-0.07350159,2.607788,-9.295959,1.1731873
1494169288477,-0.024505615,-0.028762817,0.12463379,2.729889,-9.212158,1.0941772
1494169288576,-0.02557373,-0.067108154,0.092681885,3.0243835,-9.439606,1.2210693
1494169288677,0.042617798,-0.036224365,-0.057525635,2.983673,-9.461151,1.2330475
1494169288776,0.039413452,-0.041549683,-0.09693909,2.7274933,-9.329468,1.0319366
1494169288876,0.01171875,-0.088409424,-0.043670654,2.5790558,-9.231308,1.2162933
1494169288977,-0.008529663,-0.06498718,0.090545654,2.8615723,-9.145111,1.1013641
1494169289076,-0.02130127,0.010650635,0.07670593,3.2207031,-9.463547,1.0582733
1494169289177,-0.007461548,0.053268433,-0.07670593,3.1225433,-9.257645,1.060669
1494169289276,-0.022369385,0.07243347,-0.10333252,2.9453735,-9.293564,1.0271454
1494169289377,-0.0234375,0.03727722,-0.104400635,2.9238281,-9.501862,1.1540375
1494169289477,0.018112183,0.029830933,-0.07350159,2.7945404,-9.396515,1.16362
1494169289576,-0.029830933,0.01171875,0.0703125,2.8759308,-9.142731,0.9194031
1494169289676,-0.03727722,-0.057525635,0.04899597,3.1153564,-9.442001,1.0917816
1494169289776,0.018112183,-0.004257202,-0.03302002,3.1225433,-9.348633,1.1707916
1494169289877,0.03302002,0.018112183,-0.041549683,2.8903046,-9.274399,0.9792633
1494169289976,0.019180298,-0.041549683,-0.018112183,2.7993164,-9.480301,1.0917816
1494169290077,0.02557373,-0.07563782,0.043670654,2.8041077,-9.073288,0.98165894
1494169290176,-0.03727722,-0.010650635,0.16297913,3.141693,-9.353409,1.0774231
1494169290277,-0.0063934326,0.041549683,0.022369385,3.275772,-9.410873,1.187561
1494169290376,0.024505615,0.10758972,-0.09161377,3.0722656,-9.286377,1.1253052
1494169290477,0.0138549805,0.0980072,-0.10865784,2.83284,-9.29834,1.0199585
1494169290577,-0.0021362305,0.051132202,-0.061782837,2.7562256,-9.463547,1.1061554
1494169290676,0.012786865,0.0095825195,-0.003189087,2.6532745,-9.185822,0.97447205
1494169290777,-0.038345337,0.022369385,0.15765381,2.9525452,-9.334259,1.1157227
1494169290876,-0.008529663,-0.034088135,-0.008529663,3.1369019,-9.434814,1.0774231
1494169290977,0.019180298,0.010650635,-0.069244385,2.9501648,-9.33905,1.0319366
1494169291076,0.0021362305,-0.019180298,-0.053268433,2.784958,-9.288773,1.0247498
1494169291177,0.0234375,-0.06817627,-0.034088135,2.8280487,-9.473129,1.2929077
1494169291276,0.020233154,-0.0138549805,0.061782837,2.8519897,-9.092453,0.98165894
1494169291377,-0.043670654,0.031951904,0.10865784,3.1776123,-9.341446,0.9936218
1494169291476,-0.022369385,0.026626587,-0.02130127,3.2422485,-9.372574,1.0941772
1494169291577,-0.007461548,0.15660095,-0.0703125,2.9477692,-9.482697,1.0870056
1494169291677,0.040481567,-0.022369385,-0.12677002,2.638916,-9.566498,1.08461
1494169291776,0.020233154,-0.022369385,0.051132202,2.5982056,-9.226517,0.92658997
1494169291876,-0.046875,-0.08308411,0.17576599,2.9932556,-9.257645,0.9912262
1494169291976,-0.0234375,-0.069244385,0.051132202,3.3404083,-9.442001,1.2019196
1494169292076,0.03515625,0.051132202,-0.0980072,3.180008,-9.300735,1.0894012
1494169292177,0.0095825195,0.08628845,-0.12889099,2.856781,-9.221725,0.8451843
1494169292276,-0.018112183,0.027694702,-0.080963135,2.8112946,-9.571289,1.060669
1494169292377,0.051132202,-0.03302002,-0.061782837,2.6676483,-9.3797455,0.9792633
1494169292476,-0.040481567,0.007461548,0.14274597,2.8376312,-9.18103,0.83322144
1494169292577,-0.014907837,-0.078826904,0.052200317,3.287735,-9.485092,1.1300964
1494169292677,0.08735657,-0.034088135,-0.1299591,3.2494354,-9.362991,1.1300964
1494169292776,0.123565674,-0.08308411,-0.24075317,2.8424225,-9.252853,0.80448914
1494169292877,-0.03727722,-0.042617798,0.08308411,2.7682037,-9.092453,0.9768677
1494169292976,-0.11079407,0.07136536,0.25354004,3.1369019,-9.113998,1.1324921
1494169293076,-0.123565674,0.10119629,0.16618347,3.421814,-9.3989105,0.9601135
1494169293177,-0.06498718,0.14060974,-0.012786865,3.4433594,-9.3989105,1.0415039
1494169293276,0.036224365,0.20878601,-0.18855286,2.9525452,-9.621567,1.0917816
1494169293377,0.07989502,0.102264404,-0.16085815,2.6317291,-9.219345,0.90504456
1494169293476,0.018112183,-0.007461548,-0.008529663,2.583847,-9.178635,0.8787079
1494169293577,-0.022369385,-0.040481567,0.12677002,3.0411377,-9.274399,1.1061554
1494169293677,-0.003189087,0.031951904,0.04473877,3.2997131,-9.353409,1.108551
1494169293777,0.0010681152,0.10546875,-0.04473877,3.1871796,-9.346237,1.0008087
1494169293876,-0.0053253174,0.038345337,-0.092681885,2.8927002,-9.442001,1.1324921
1494169293976,0.041549683,-0.040481567,-0.06285095,2.6676483,-9.157089,1.0965729
1494169294077,-0.024505615,0.05432129,0.19494629,2.9788818,-9.262436,1.1755829
1494169294176,-0.0063934326,-0.047943115,0.027694702,3.2949219,-9.315109,1.0391083
1494169294277,0.007461548,0.05859375,-0.057525635,3.2733765,-9.315109,1.1133423
1494169294376,0.040481567,0.053268433,-0.15979004,2.8615723,-9.327072,1.1157227
1494169294477,0.031951904,0.0063934326,-0.07350159,2.6006012,-9.224121,1.0079956
