timestamp,gyro-alpha,gyro-beta,gyro-gamma,accel-x,accel-y,accel-z
1494174288684,0.16511536,1.7438354,-0.23542786,1.3316803,-10.540939,3.4309235
1494174288783,1.4775238,0.5241089,-1.1504822,-0.6004486,-14.766708,2.0159454
1494174288884,1.5073547,0.48362732,-0.94062805,1.065918,-11.860138,-0.25375366
1494174288983,0.67111206,1.4924316,-0.29188538,2.0212097,-10.629517,0.59140015
1494174289084,0.7765808,0.90760803,-0.33555603,1.2382965,-6.384598,1.0965729
1494174289183,0.5539398,0.27270508,-0.16937256,0.792984,-8.393341,1.0462952
1494174289284,-0.100128174,-0.2194519,0.2237091,0.3715973,-10.174622,0.8787079
1494174289383,-1.195221,-0.37071228,0.71585083,1.7123566,-12.034912,4.290436
1494174289484,-0.2748413,-1.0908356,0.088409424,-0.22454834,-9.149902,2.9688416
1494174289583,-0.31211853,-1.9845886,0.15979004,1.6668701,-3.8108368,1.3312073
1494174289684,-1.0045471,0.043670654,0.9470215,2.8903046,-9.588043,3.2537537
1494174289784,-0.3206482,-0.08522034,-0.13742065,1.7482758,-11.201736,5.952011
1494174289883,-0.09587097,-0.007461548,-0.17150879,3.5822296,-13.84494,5.2529144
1494174289983,1.1334381,2.0634155,-0.49002075,2.0906372,-11.90802,3.464447
1494174290084,1.9856567,0.24182129,-1.1121368,1.1497192,-6.8706207,1.1037598
1494174290184,1.2942963,0.69880676,-0.6082611,1.4561768,-6.9807587,0.9864502
1494174290283,-0.041549683,0.24501038,0.09480286,1.1856384,-9.5377655,1.3192444
1494174290386,-1.399765,-0.11930847,0.8500824,1.199997,-18.250275,1.7142792
1494174290484,-0.87031555,-0.86499023,0.24926758,0.20161438,-10.701355,2.2649536
1494174290583,-0.73609924,-1.8620758,0.1960144,-0.10005188,-4.8642883,2.559433
1494174290684,-1.017334,-2.4106903,1.113205,2.3635712,-7.8307037,1.1157227
1494174290783,-1.1558075,0.38562012,1.1931,1.7841797,-10.32785,3.6200714
1494174290883,-0.55500793,-0.08947754,0.0234375,3.0578918,-15.480179,3.5650024
1494174290984,0.99601746,1.6799164,-0.6327667,2.2007751,-11.922394,3.4788055
1494174291083,1.8983002,0.94169617,-1.2431641,1.539978,-9.29834,2.0614471
1494174291183,1.9707336,0.9768524,-1.4242554,1.3747711,-7.7109985,0.60098267
1494174291284,1.0088043,0.2705841,-0.48895264,0.9797363,-8.374191,1.3599396
1494174291383,-0.2929535,0.26631165,0.17790222,0.46018982,-12.659805,0.6752014
1494174291484,-0.70840454,-0.32704163,0.6306305,-0.28201294,-11.699738,3.1579895
1494174291584,-0.25779724,-1.4700623,0.20773315,0.35005188,-6.0973053,2.9520874
1494174291683,-0.687088,-1.4082794,0.7307739,1.5423737,-4.4309387,1.563446
1494174291784,-1.8844604,-0.12889099,2.1539612,2.7562256,-10.885696,2.7270203
1494174291884,-1.0705872,0.79148865,0.5305023,2.4713135,-17.201614,3.8355408
1494174291983,0.6636658,-0.08735657,-0.7755127,1.03479,-11.141876,3.6487885
1494174292084,1.3710022,0.9054718,-0.827713,1.1736603,-8.376587,2.5977478
1494174292183,1.7012329,1.1408997,-1.2772522,1.5279999,-6.5186768,0.6296997
1494174292283,1.0056152,0.7467499,-0.5773773,0.9821167,-9.04216,1.4724731
1494174292384,0.055389404,-0.13209534,-0.1725769,0.39315796,-11.529739,1.0367279
1494174292483,-0.7574005,-0.56140137,0.3249054,-0.0090789795,-10.6367035,2.5953522
1494174292584,-0.19706726,-0.5017395,0.007461548,-0.14076233,-6.9951324,3.1555939
1494174292684,-0.32383728,-1.25914,0.22264099,1.3508301,-3.8563232,1.302475
1494174292783,-1.3890991,-0.5763092,1.7097473,2.808899,-11.101181,3.3471222
1494174292884,-1.017334,-0.876709,0.90867615,3.5846252,-15.652557,3.47641
1494174292984,0.21517944,0.63490295,-0.43569946,2.2534485,-12.384476,3.038269
1494174293083,0.9278412,1.5691376,-0.794693,1.4226532,-8.017456,2.46846
