timestamp,gyro-alpha,gyro-beta,gyro-gamma,accel-x,accel-y,accel-z
1494351391166,-2.0316274,-2.0167046,3.9022954,1.7788918,-15.986084,2.1883004
1494351391266,-0.9891689,-3.256356,3.859659,1.954267,-15.551537,4.2700586
1494351391365,0.08526686,-2.6274703,1.9772646,6.6415153,-12.734159,1.1528081
1494351391466,0.07247596,0.12044183,-0.84952444,5.9316344,-8.93097,1.4089876
1494351391566,0.07673959,2.4718356,-2.8182573,3.6691139,-12.191275,-1.1306617
1494351391666,1.084023,4.4384365,-4.1378517,1.4341267,-17.905636,0.093972415
1494351391765,1.5711433,0.81967777,-4.515183,0.36511573,-14.173674,-0.97204584
1494351391866,1.2396456,1.3441048,-3.310707,0.9822212,-10.939107,0.11911153
1494351391965,0.41889617,-0.40931463,-1.0659039,0.0047884034,-8.474875,1.54426
1494351392066,-0.8484689,-0.41357827,1.2769628,-0.9870096,-7.2999206,3.8121674
1494351392165,-1.4816184,-1.4091368,3.5633364,-0.5261258,-10.989386,2.4875755
1494351392266,-0.87405074,-1.3888844,3.750936,1.1713631,-11.4281225,0.41419688
1494351392366,-0.5318941,-1.803523,3.1209843,2.0207062,-14.2065935,0.31124622
1494351392465,-0.39119416,-4.034469,3.2115865,3.8905776,-13.820529,-0.93972415
1494351392566,-0.440226,-0.9891689,0.2515589,4.940435,-11.209053,-0.40043023
1494351392665,-0.440226,0.874039,-1.3942037,5.424662,-11.596914,0.03172317
1494351392766,-0.15029891,3.5643919,-2.8417075,2.9430723,-12.823344,-0.6835446
1494351392866,1.7171727,6.230229,-3.6965656,-0.53151274,-15.339051,0.4973954
1494351392965,2.4729018,0.8377982,-3.1891935,-0.36511573,-11.66455,0.037110124
1494351393066,1.5093205,-0.25795564,-1.6031218,1.8010381,-9.969456,0.077811554
1494351393165,-0.106596656,-1.3856869,1.3569059,-2.2092495,-9.004592,1.2120645
1494351393266,-0.9241484,-1.0179483,2.70528,-0.113724574,-11.984176,2.2954407
1494351393366,-1.1479892,-1.5711548,3.7669246,0.3268085,-11.188104,0.42137948
1494351393465,-0.9017644,-2.2522702,3.9150863,2.4947581,-14.289194,0.4537012
1494351393566,-0.40078738,-3.0101311,2.7852232,2.1092916,-12.36665,1.7531542
1494351393665,-0.22917613,-1.1629119,0.69391096,5.7580547,-11.607688,0.23343466
1494351393766,-0.13004664,0.6438028,-1.1852857,4.2173862,-9.910199,0.82480246
1494351393865,-0.00533536,3.487646,-2.4761007,3.228581,-12.067973,-0.42796353
1494351393966,1.9175633,4.728364,-3.9822295,-1.6669629,-14.744092,-0.7457938
1494351394065,2.3087516,1.4357728,-3.3416185,-0.6805518,-12.712612,0.13347673
1494351394166,1.6798658,0.006389632,-2.08811,0.57281274,-9.874885,-0.20231004
1494351394265,0.26433948,-1.2673708,0.006399976,-1.103727,-8.272565,0.44352585
1494351394366,-0.9475984,-0.77811897,1.9005193,-0.272939,-10.237606,2.5659857
1494351394465,-1.32493,-1.208746,3.3640115,-0.03232172,-10.704475,1.1953051
1494351394566,-1.1522528,-1.6606911,3.625159,1.9656395,-13.290812,0.33578676
1494351394665,-0.8026349,-1.721448,3.2776728,2.0991163,-12.242151,2.228403
1494351394766,-0.25795564,-1.557298,1.274831,5.5054665,-12.178106,0.6560112
1494351394865,-0.055433057,-0.42210555,-0.50203836,4.0599675,-8.4664955,1.501763
1494351394965,-0.03837852,2.284236,-2.1957667,3.1459808,-12.366052,-0.04489128
1494351395066,0.8868299,4.6494865,-3.1998525,1.7920599,-13.372214,-0.23762451
1494351395166,2.0678563,2.3769698,-3.357607,0.055066638,-12.662932,-0.5093664
1494351395265,1.7054477,-0.015994444,-2.3876302,0.79188216,-10.464457,0.35793313
1494351395366,0.6896369,-1.6084615,-0.38159066,-0.34476504,-8.289325,0.25498247
1494351395465,-0.69284636,-0.8388757,1.6159217,-0.7900865,-9.4618845,2.3864205
1494351395566,-0.80903023,-1.1757028,2.8619685,-0.54228663,-10.729016,0.9959879
