timestamp,gyro-alpha,gyro-beta,gyro-gamma,accel-x,accel-y,accel-z
1494170592863,-0.17364502,0.9800415,-0.83517456,4.7673645,-9.609589,1.0822144
1494170592963,0.39733887,1.1994934,-0.94169617,6.4672394,-10.713318,-0.3758545
1494170593062,0.7936249,0.12677002,-0.7701874,3.2781677,-7.3638306,2.7389984
1494170593163,0.5954895,-0.20452881,1.2783203,3.3260498,-5.814789,3.1436157
1494170593262,0.05432129,-1.5030823,2.582199,4.2621765,-5.886612,2.5163422
1494170593363,-0.34194946,-1.257019,2.3787384,8.538223,-7.634384,2.1021423
1494170593462,-0.6998749,0.98217773,1.3880463,8.176697,-9.892105,1.0678406
1494170593563,-0.93530273,0.651947,-1.0929565,7.4129486,-9.971115,-0.9049835
1494170593662,-1.1941681,1.4242554,-2.3009644,7.683502,-11.49144,-1.7453461
1494170593762,-0.76379395,0.6402283,-2.83786,3.8360138,-8.091675,0.3807068
1494170593863,-0.5752411,2.13266,-0.36325073,4.8894653,-8.678253,0.031158447
1494170593963,0.30360413,0.9512787,-1.6618195,5.6340637,-9.250458,1.0343323
1494170594062,0.28974915,0.6487427,-0.8916321,2.8615723,-4.3710785,2.5570374
1494170594163,-0.43569946,0.20240784,1.8951111,4.9612885,-2.673584,2.2098846
1494170594262,-0.8969574,-0.40905762,3.5835571,7.982773,-6.7700653,2.0758057
1494170594363,-1.052475,1.2239838,2.48526,7.2980347,-10.074066,-0.33755493
1494170594462,-0.9938965,0.9715271,-0.53263855,7.4009857,-10.562485,-1.211441
1494170594563,-0.8490143,1.3155975,-2.6631622,7.410553,-13.248779,0.3902893
1494170594662,-0.53796387,1.2144012,-2.5513153,1.6261597,-8.639938,-0.24177551
1494170594762,-0.30786133,2.3798065,-0.6008148,4.6021576,-11.228073,1.9991913
1494170594862,0.5347595,0.39733887,-1.6021576,5.1193085,-10.270386,1.2905121
1494170594962,0.63490295,0.1725769,-1.1259918,4.015579,-6.753311,2.6121063
1494170595063,-0.16830444,0.31851196,1.1100006,3.4290009,-3.978424,2.7892761
1494170595162,-1.0844421,-0.44102478,2.753708,5.5502625,-4.3064423,2.334381
1494170595263,-1.4466248,-0.067108154,3.3172302,7.5709686,-8.587265,-0.49557495
1494170595363,-1.16008,1.0535431,0.6775055,8.875809,-12.583191,-0.98876953
1494170595462,-0.733963,1.3784485,-2.4628906,8.045013,-12.236038,-1.381424
1494170595563,-0.5518036,0.88630676,-2.5118866,4.5063934,-7.14357,-0.37106323
1494170595662,-0.33236694,0.88523865,-0.88630676,5.069031,-10.002243,0.77815247
1494170595763,0.38775635,1.5904388,-1.355011,6.134445,-10.191391,-1.1252441
1494170595862,0.36431885,0.061782837,-1.3347778,3.9916382,-4.7541504,0.9936218
1494170595963,0.316391,-0.6093292,0.5816345,4.6332855,-3.8683014,1.7262573
1494170596062,-0.2311554,-0.51345825,2.659958,6.2302094,-5.570572,0.12213135
1494170596163,-0.58802795,-0.6562042,3.316162,7.393799,-6.293625,-0.69429016
1494170596262,-0.49108887,0.1533966,0.9800415,12.974686,-12.082809,-2.2098236
1494170596363,-0.09587097,0.28016663,-2.3766022,9.419296,-9.774796,-0.3973999
1494170596462,-0.14274597,0.70414734,-2.020813,4.5183563,-7.732544,0.7996979
1494170596562,0.08415222,1.2655334,-0.46446228,5.2174683,-9.71254,0.84039307
1494170596663,0.39627075,1.1717834,-1.3070831,7.7601166,-10.086044,-1.6088715
1494170596762,0.47190857,-0.18109131,-1.399765,5.387451,-6.140396,0.08862305
1494170596863,0.41226196,-0.44102478,0.36431885,4.896637,-4.8499146,1.4102173
1494170596962,0.13635254,0.5528717,1.767273,7.010727,-5.534668,2.4612732
1494170597062,-0.54541016,-0.4037323,2.6940613,6.864685,-3.8180237,1.6831512
1494170597163,-0.9502106,-0.6455536,2.2232056,11.562103,-7.9528046,1.2115021
1494170597262,-0.269516,0.44528198,-1.0855103,10.218948,-9.051743,-0.6248474
1494170597363,-0.08947754,0.4463501,-1.9994965,8.660324,-9.461151,0.32803345
1494170597463,0.0095825195,0.56140137,-0.93104553,2.662857,-9.104416,1.187561
1494170597562,0.018112183,0.76911926,-0.5507355,5.7394104,-9.262436,0.11495972
1494170597663,0.65834045,0.44421387,-2.037857,7.9468536,-9.315109,0.80688477
1494170597762,0.5198517,0.2002716,-0.98643494,4.975647,-4.045471,0.8356018
1494170597862,0.2034607,-0.3206482,0.95874023,5.6604004,-3.233841,1.3216248
1494170597962,-0.35580444,-0.8735199,2.661026,6.4002075,-5.0749817,1.350357
1494170598063,-0.93743896,-0.6998749,3.3641052,9.488724,-6.7940063,1.855545
1494170598162,-0.37071228,1.1227875,1.0940247,12.445557,-10.562485,0.72068787
1494170598263,0.04899597,0.7243805,-1.4114685,9.304367,-8.163498,-0.42373657
1494170598362,0.48362732,0.3952179,-2.2029724,5.3419647,-10.0477295,0.5770416
1494170598463,0.56352234,0.6263733,-1.017334,3.5582886,-9.556915,1.9225769
1494170598562,0.80641174,0.33876038,-1.3954926,7.470413,-9.238495,1.2617798
1494170598662,1.0002899,-0.05432129,-1.368866,5.9548798,-6.0111084,0.81166077
1494170598762,0.4229126,0.04473877,0.6018677,4.55188,-3.5331116,1.5466919
1494170598862,-0.6647186,-0.52731323,2.8772736,5.784897,-4.725418,0.5602722
1494170598962,-1.6479645,-0.26844788,3.3651733,9.950806,-7.071747,2.4277496
1494170599063,-0.43675232,0.02130127,0.5518036,12.445557,-10.030975,2.1548157
1494170599162,0.08522034,0.49534607,-1.8237305,8.940445,-8.103638,0.15325928
1494170599262,0.6529999,-0.08415222,-1.9984436,5.3371735,-11.093994,3.0287018
1494170599363,0.43888855,-0.23329163,-0.8490143,2.1720428,-9.542557,2.614502
1494170599462,0.5805664,0.41545105,-1.1888275,6.3523254,-11.390884,0.5075989
1494170599563,0.88949585,-0.078826904,-1.4412994,5.5382843,-5.5681763,0.5650635
1494170599662,0.80641174,-0.1768341,0.88630676,4.2980957,-2.9082184,1.436554
1494170599763,0.018112183,-0.8287811,3.4024506,5.5430756,-5.9320984,-0.0717926
1494170599862,-0.6775055,-0.6977539,3.9755707,9.778427,-8.307144,0.6177368
1494170599963,-0.2929535,-0.14274597,1.1675262,12.3737335,-9.834656,-0.22502136
1494170600062,-0.113983154,0.21305847,-2.180603,9.53421,-8.896118,-0.16755676
1494170600163,0.04473877,0.25779724,-2.690857,6.062622,-11.2256775,0.53393555
1494170600262,0.13421631,0.4537964,-1.2697906,2.1983795,-9.808319,1.2569885
1494170600363,0.2599182,0.93104553,-0.93104553,6.057831,-9.427628,-0.62246704
1494170600462,0.57844543,-0.03302002,-1.6980286,5.231827,-7.215393,0.41423035
1494170600563,0.31958008,0.03727722,0.654068,3.9748688,-3.2721405,1.8459625
1494170600662,-0.46446228,-0.7936249,3.1723633,7.1831055,-5.0462494,0.6225281
1494170600763,-0.7211914,-0.4037323,3.0051117,9.749695,-7.1651154,0.47647095
1494170600862,-0.47616577,0.44421387,0.036224365,11.830246,-9.906479,-0.16516113
1494170600963,-0.17150879,0.6370239,-2.4373322,8.715393,-8.915268,-0.028701782
1494170601062,0.17576599,0.302536,-1.9355927,3.6085663,-9.099625,1.3479614
1494170601162,0.42610168,0.51664734,-0.74142456,4.144867,-10.143494,1.3862762
1494170601263,0.714798,0.33555603,-1.3710022,6.6013184,-9.090057,0.658432
1494170601363,0.56884766,0.019180298,-0.6306305,4.7170715,-4.5051575,1.7956848
1494170601462,0.0745697,-0.29081726,1.6309204,4.7075043,-3.1835632,1.5682373
1494170601563,-0.64341736,-0.46446228,3.3918,7.714615,-4.8618927,0.56985474
1494170601662,-0.876709,-0.050064087,2.6951141,10.472733,-7.854645,-0.21305847
1494170601763,-0.41012573,0.29934692,-0.970459,11.420837,-8.60643,-0.1914978
1494170601862,-0.19494629,-0.2737732,-2.6876678,8.468796,-9.980698,-0.3136139
1494170601962,-0.30360413,0.03727722,-1.6032257,3.6468658,-7.8666077,-0.22741699
1494170602062,-0.045806885,1.0045471,-0.38456726,6.383438,-10.196167,0.16523743
1494170602163,0.14060974,0.53582764,-1.8162689,6.2230377,-8.455582,-0.3279724
1494170602262,0.28762817,0.26524353,-0.5230408,5.1049347,-3.4469147,0.8020935
1494170602363,0.23542786,0.0021362305,1.9824524,4.8655243,-1.4956512,1.2019196
1494170602462,-0.4229126,-0.47616577,3.7976685,8.720184,-4.3591156,0.20114136
1494170602563,-0.51026917,0.41970825,2.900711,9.828705,-9.482697,-0.35191345
1494170602662,-0.40693665,0.26419067,-0.7712555,9.433655,-8.764435,-0.9528656
1494170602763,-0.39094543,0.6370239,-2.0144196,6.979599,-9.9088745,-0.8570862
1494170602862,-0.23435974,0.4825592,-1.6330566,4.113739,-10.133926,0.2131195
1494170602963,0.08415222,1.0748444,-0.69880676,5.7202454,-11.958298,1.9656677
1494170603062,0.052200317,1.2197266,-1.9355927,5.5670166,-9.638321,0.2610016
1494170603163,-0.18322754,1.3028259,-0.27163696,3.6755981,-3.4493103,1.7094879
1494170603262,-0.76805115,-0.48362732,2.0293274,3.876709,-1.1556702,2.8060303
1494170603363,-1.4359741,0.64341736,3.3417358,7.647583,-5.915344,-0.5051422
1494170603462,-1.1824493,0.62957764,0.6977539,9.625198,-10.60318,-0.2202301
1494170603563,-0.6029358,0.87138367,-1.8482361,9.316345,-11.802689,0.95532227
1494170603662,-0.49427795,1.0620728,-1.7960358,3.9030457,-7.950409,-0.17953491
1494170603763,0.14274597,1.335846,-0.81599426,7.386612,-13.030914,-0.23460388
1494170603863,0.20133972,1.0460968,-1.368866,5.133667,-7.5170593,-0.95526123
1494170603962,0.16192627,0.44528198,0.09161377,4.3292236,-2.8483734,1.4317627
1494170604062,-0.58909607,-1.036499,2.598175,7.0011444,-2.5299377,1.1588287
1494170604163,-1.0929565,0.6018677,2.6365356,10.800751,-7.6080475,-1.132431
1494170604262,-0.5763092,1.2516785,0.25247192,11.902084,-8.611206,-0.12446594
1494170604363,-0.3440857,1.1664581,-1.7480927,7.448868,-8.508255,-0.7325897
1494170604462,-0.3771057,1.0950928,-1.116394,3.9533234,-9.233704,-0.682312
1494170604563,0.21092224,0.73609924,-0.7563324,6.0290985,-11.479462,2.1093292
1494170604662,0.15765381,1.0578003,-1.8429108,3.962906,-9.317505,-0.15559387
1494170604763,-0.29934692,0.5560608,-0.31851196,2.2630157,-5.3407288,2.5929565
1494170604863,-1.1227875,-0.8085327,2.1379852,4.774536,-3.62648,1.8579254
1494170604962,-1.3081512,0.20985413,2.8591766,8.892563,-6.7317657,1.6304779
1494170605063,-0.49960327,1.0620728,-0.30892944,7.0538177,-9.650299,1.1133423
1494170605162,-0.036224365,0.6455536,-1.4785919,6.0243073,-7.7947845,0.5530853
1494170605263,0.03515625,0.41545105,-1.0578003,6.6013184,-9.087662,0.5937958
1494170605362,-0.038345337,0.74035645,-0.7510071,6.031494,-9.87056,-0.96243286
1494170605463,-0.067108154,-0.046875,-1.9952393,4.764969,-10.258423,-2.820343
1494170605562,-0.19706726,-0.525177,-0.6221161,4.750595,-3.4421234,1.2402344
1494170605662,-0.34194946,-0.9938965,1.9696808,5.152817,-1.7805481,1.0558777
1494170605764,-0.5347595,-0.7531433,3.107376,10.077698,-6.722183,-2.236145
1494170605862,-0.09693909,0.7893677,-0.18322754,11.674622,-7.907318,-0.8475189
1494170605963,0.12783813,0.9736481,-1.2697906,7.077759,-6.171524,-1.2856598
1494170606062,-0.034088135,1.1259918,-0.70840454,7.336334,-8.592056,-0.67274475
1494170606162,0.040481567,1.0812378,-0.6721802,7.1017,-10.291946,-0.5602112
1494170606263,0.43782043,0.5763092,-1.4317169,3.7641907,-9.659866,-0.385437
1494170606362,-0.08415222,0.23649597,1.212265,2.1193695,-3.056656,4.192276
1494170606463,-1.2080078,-0.09375,3.5633087,7.307602,-4.483612,0.8308258
1494170606562,-1.2207947,1.5350494,1.8450317,10.025024,-9.973511,-0.81399536
1494170606663,-0.9331665,1.2783203,-1.4924316,10.216553,-9.959152,0.22987366
1494170606762,-0.5241089,0.5858917,-2.2679443,4.343582,-10.7947235,0.019180298
1494170606863,-0.28868103,0.39308167,-1.2815094,2.9190369,-9.815491,0.816452
1494170606962,0.17364502,0.7190552,-1.990982,5.1863403,-12.128296,0.25141907
1494170607063,0.44314575,0.31958008,-0.66685486,3.895874,-7.0310364,0.6728058
1494170607162,0.4229126,-0.7744446,1.9004364,3.373932,-4.081375,1.4437408
1494170607262,-0.7840271,-0.82025146,3.7731628,8.435272,-4.792465,-0.77090454
1494170607363,-0.56565857,0.78297424,1.7715302,13.676178,-11.230469,-2.442047
1494170607462,-0.25886536,0.28656006,-2.1912537,8.4664,-9.786758,-1.3646698
1494170607563,-0.28974915,0.47190857,-2.0442352,5.7729187,-8.156311,-1.0653839
1494170607662,-0.1725769,0.43463135,-1.0130615,4.0802155,-10.069275,-0.86906433
1494170607763,0.16937256,0.78297424,-0.7893677,5.595749,-10.655853,-1.7381592
1494170607862,0.10652161,0.29507446,-0.64234924,4.343582,-7.153137,0.32563782
1494170607963,0.11079407,-0.8042755,2.2988434,3.3499908,-2.5155792,2.1787567
1494170608063,-0.53157043,-0.8831024,3.8306885,9.438446,-6.480377,-1.2281952
1494170608162,-0.22796631,0.5017395,0.031951904,9.814331,-10.861755,-0.8355408
1494170608263,-0.004257202,0.5986786,-1.9078827,6.0123444,-8.812317,-0.3423462
1494170608362,0.028762817,0.7424927,-1.6170654,4.022766,-10.833023,-0.38064575
1494170608462,0.15660095,0.73609924,-0.9342346,4.05867,-10.311096,-0.24417114
1494170608563,0.36006165,0.22583008,-1.2410278,6.6803284,-9.394119,-1.1108704
1494170608662,-0.018112183,0.15660095,-0.11505127,3.1369019,-4.749359,1.8627167
1494170608763,-0.5230408,-0.6721802,2.261551,2.9262085,-3.6863403,1.6209106
1494170608862,-1.0045471,-1.1014862,3.3417358,8.631592,-6.801193,-0.6248474
1494170608963,-0.43463135,-0.24394226,0.14274597,11.119171,-11.527344,0.32086182
