timestamp,gyro-alpha,gyro-beta,gyro-gamma,accel-x,accel-y,accel-z
1494172260138,-2.946518,-0.5507355,1.8034973,1.4585724,-11.539322,4.8554688
1494172260239,-2.309494,-2.5374603,1.4136047,1.7291107,-14.764313,4.745346
1494172260338,-0.4548645,-0.5336914,-0.20666504,3.5917969,-9.681412,2.6408386
1494172260439,0.81492615,0.5528717,-1.1749878,1.7841797,-9.295959,2.899414
1494172260538,1.4583435,0.76911926,-1.7736664,2.1073914,-9.511429,1.6616058
1494172260639,1.6213379,0.89482117,-1.6745911,1.3101349,-10.24884,1.5873871
1494172260738,1.25914,0.54008484,-1.116394,1.302948,-10.428406,0.9648895
1494172260839,0.33448792,-0.20559692,0.57844543,-0.0042877197,-12.446716,2.2745209
1494172260939,0.14593506,-0.7765808,0.6029358,-0.06414795,-9.511429,1.5371094
1494172261038,-0.76272583,-1.6490326,1.4114685,1.7602386,-5.891403,1.3671265
1494172261139,-1.2793884,-1.0450287,1.8460999,2.777771,-8.046173,2.5067596
1494172261238,-1.1675262,-0.0010681152,1.2687225,3.749817,-12.209702,4.338333
1494172261339,-0.47616577,0.3302307,0.17790222,3.8743134,-12.310257,3.8499146
1494172261438,0.53796387,1.9505005,-0.7563324,3.0076141,-11.5177765,2.686325
1494172261539,1.5435638,1.3827057,-1.6394348,1.3652039,-8.929642,1.7501984
1494172261638,1.9920502,0.11291504,-1.1888275,0.86720276,-9.482697,0.90504456
1494172261739,1.0269165,-0.18109131,-0.53796387,1.0204315,-9.901688,0.59858704
1494172261838,-0.6498108,-0.7382355,0.9512787,1.030014,-9.705368,1.4413452
1494172261939,-0.9246521,-0.18855286,1.0439606,0.10345459,-10.323059,1.4293671
1494172262038,-1.3283844,-1.4519501,1.2697906,1.7913666,-7.708603,1.8004761
1494172262139,-1.5350494,-0.349411,1.4242554,2.310913,-9.054138,3.591339
1494172262238,-0.8053436,0.29507446,0.794693,3.0339508,-12.20491,5.0158844
1494172262338,0.42503357,0.30999756,-0.47937012,2.856781,-12.307861,3.6655579
1494172262439,1.4231873,1.3337097,-1.2282562,2.4856873,-12.286316,2.5977478
1494172262538,2.2860565,2.4575653,-2.003769,2.7873535,-10.763596,1.4772491
1494172262639,2.598175,2.0825958,-1.5648804,1.9541626,-9.45636,1.4796448
1494172262739,1.6511536,0.9534149,-0.7254486,1.8105164,-8.005478,2.535492
1494172262838,0.10546875,0.008529663,0.19706726,0.4099121,-8.699799,4.84111
1494172262939,-0.714798,-0.3675232,0.51664734,0.59187317,-8.637543,4.9129333
1494172263039,-1.130249,0.22050476,0.4506073,1.5519409,-5.012726,6.3015747
1494172263138,-0.54541016,0.71266174,0.34620667,1.6165924,-6.1188507,8.985474
1494172263239,0.4271698,0.31958008,-0.2268982,0.9198761,-7.682266,9.710907
1494172263338,0.29934692,-0.19706726,-0.41012573,3.3092957,-8.383759,9.500229
1494172263439,0.31851196,0.46018982,-0.7520752,1.9541626,-8.352631,7.46994
1494172263538,0.7265167,0.7435608,-0.8181305,1.2167511,-5.970413,6.3925476
1494172263639,0.93637085,0.40480042,-0.5805664,0.68284607,-4.150818,5.35347
1494172263738,-0.038345337,-1.069519,0.5209198,-0.20300293,-5.328766,3.2441711
1494172263839,-2.2445068,-4.414459,2.4309387,0.8025665,-11.022171,3.1460114
1494172263938,-1.989914,-2.8602295,2.933731,3.0531158,-14.414749,1.0582733
1494172264039,-1.7033539,-1.434906,1.8897858,2.7322845,-10.397293,2.3295898
1494172264139,-1.3890991,-0.19387817,1.5819244,3.2733765,-9.430023,2.5666199
1494172264238,-0.6721802,0.16830444,0.78723145,3.6013794,-10.567276,4.199463
1494172264338,0.36431885,0.07563782,-0.33769226,3.8910828,-13.741989,4.1348114
1494172264439,1.6074829,1.3145294,-2.3286743,0.75227356,-12.750793,2.528305
1494172264538,2.4000397,0.8458252,-2.6407928,0.4577942,-11.594391,1.5323181
1494172264639,2.116684,0.012786865,-2.0048218,1.0755005,-9.073288,0.54112244
1494172264738,0.92144775,-0.03515625,-0.7243805,1.1952057,-7.4260864,-0.019119263
1494172264839,-0.8458252,-0.022369385,1.3954926,1.2814026,-11.388489,0.96728516
1494172264938,-1.4604797,0.18215942,1.990982,0.44104004,-13.332581,1.5682373
1494172265039,-1.448761,-1.8226624,1.718277,0.11541748,-8.922455,2.8251953
1494172265139,-1.2218628,-2.022934,2.4394531,2.4832916,-9.849014,2.9520874
1494172265238,-0.74461365,-0.36218262,1.2825775,3.1464844,-10.375732,4.101303
1494172265339,-0.13635254,-0.4772339,-0.21411133,2.8112946,-12.944717,3.0358734
1494172265438,0.5933533,1.4839172,-1.3124084,2.583847,-11.924789,1.9848328
1494172265538,1.4562225,1.5265198,-2.1347961,0.27104187,-10.833023,1.9561005
1494172265639,1.831192,0.76911926,-2.2967072,0.6230011,-9.401291,1.1779785
1494172265739,1.4764557,-0.20240784,-1.3124084,0.83128357,-7.55777,0.5937958
1494172265838,0.2599182,-0.44314575,0.37390137,1.109024,-8.410095,1.0822144
1494172265939,-0.9608612,-0.8916321,2.2658234,1.5040588,-10.533752,2.1715698
1494172266038,-1.2868347,-0.040481567,1.9494324,0.9988861,-11.560867,1.860321
1494172266139,-1.3763275,-0.6008148,1.528656,1.781784,-8.96077,2.7820892
1494172266239,-1.1004181,-0.24394226,1.2484894,2.0690918,-9.056534,3.7110443
1494172266338,-0.431427,0.15553284,0.18641663,2.2965393,-11.472275,4.374237
1494172266438,0.43037415,0.36112976,-0.66259766,2.3324585,-12.221664,3.5626068
1494172266539,1.2666016,1.7267914,-1.2005463,1.4130859,-13.385254,2.456482
1494172266638,1.9196014,0.34194946,-1.8194733,0.41470337,-10.526566,1.3719025
1494172266739,1.8258667,-0.12463379,-1.5329132,1.2071838,-8.479523,0.46450806
1494172266838,0.9331665,-0.2780304,-0.478302,1.4513855,-8.139557,0.0024261475
1494172266939,-0.7275696,-0.5432892,1.3102722,1.6860199,-11.350174,1.0175629
1494172267038,-1.5393066,0.7190552,1.4743195,1.4441986,-11.656631,1.83638
1494172267139,-1.8897858,0.33769226,1.1643372,1.1401367,-9.171448,2.6647797
1494172267238,-1.5414429,0.36112976,1.2005463,1.8799438,-10.277573,2.9879913
1494172267339,-0.71585083,0.41119385,0.043670654,0.96536255,-9.439606,4.125244
1494172267438,0.18855286,0.55500793,-0.25779724,1.3891449,-11.7356415,3.203476
1494172267538,1.1281128,0.67111206,-0.82025146,1.2598572,-10.471512,1.2761383
1494172267639,1.51268,1.3539581,-0.8223877,1.7195435,-12.075623,1.515564
1494172267738,1.784317,0.96299744,-1.0354309,1.1664734,-9.935211,0.5674591
1494172267839,1.3965607,0.041549683,-0.8404999,1.5375824,-7.447632,0.07424927
1494172267939,0.43888855,-0.111846924,-0.42610168,1.5902557,-7.56015,0.07904053
1494172268038,-0.7307739,-0.8127899,0.93955994,1.1401367,-11.975067,2.2266388
1494172268139,-1.2559509,-0.34301758,0.6402283,0.9893036,-10.524185,3.1292572
1494172268238,-1.4381104,0.01171875,0.98857117,1.0539551,-9.106812,3.469223
1494172268339,-1.2474213,0.24394226,0.94488525,1.6070099,-9.315109,3.29924
1494172268438,-0.55500793,0.042617798,0.15553284,0.7043915,-8.876968,3.5697937
1494172268539,-0.0010681152,-0.1448822,-0.15765381,1.6477051,-10.694168,3.1603851
1494172268638,0.38882446,0.6689911,-0.10865784,2.219925,-10.576843,2.638443
1494172268739,0.79042053,1.7395782,-0.49320984,1.946991,-12.022949,2.4397278
1494172268838,1.3006897,0.6966858,-1.2942963,0.85762024,-8.673462,1.3862762
1494172268938,1.2783203,-0.13848877,-0.9054718,1.3053436,-7.9288635,0.9720764
1494172269039,0.605072,-0.73928833,0.053268433,1.4465942,-8.536987,0.71110535
1494172269138,-0.3206482,-0.5283661,0.86605835,1.6285553,-10.931198,2.286499
1494172269238,-0.5709839,-0.9150696,0.7211914,0.06274414,-9.762817,2.638443
1494172269339,-0.51664734,-0.98643494,0.47084045,1.0467682,-8.304749,1.8962402
1494172269439,-0.86180115,-1.0855103,1.0588684,2.1696472,-7.0908966,1.5442963
1494172269538,-1.1206512,-0.7052002,1.3816528,1.5782776,-9.307922,2.4876099
1494172269638,-0.747818,0.03515625,0.49534607,1.9852905,-11.524948,3.5650024
1494172269739,0.3526001,-0.48043823,-0.316391,2.0451508,-13.78508,3.548233
1494172269838,0.9949646,0.55926514,-1.4721985,1.8871307,-12.008591,2.710266
1494172269939,1.5467682,1.9345245,-1.1291809,-1.5988312,-8.623184,2.267334
1494172270038,1.5542145,-0.9257202,-0.79574585,1.6956024,-8.429245,0.737442
1494172270139,0.8724518,-0.33236694,0.19706726,1.6381378,-7.6248016,0.45732117
1494172270238,-0.302536,-0.11079407,1.1281128,1.5734863,-11.469894,0.6871643
1494172270340,-0.69348145,-0.06071472,0.19068909,-0.15272522,-9.252853,1.9058228
1494172270438,-0.8969574,-0.91186523,-0.07670593,1.2287292,-8.632751,1.673584
1494172270539,-1.1867065,-0.33555603,0.7382355,2.4234314,-7.160324,2.2769165
1494172270638,-1.1334381,0.74142456,0.9065399,1.3364716,-9.518616,3.9001923
1494172270739,-0.29507446,0.61891174,0.20985413,1.065918,-11.982254,4.2138214
1494172270838,0.700943,0.15872192,-0.045806885,2.085846,-11.060486,3.409378
1494172270938,1.3315735,1.1717834,-0.51026917,2.4138641,-12.664597,2.2170563
1494172271038,1.8247986,0.6913605,-1.3347778,1.2167511,-9.169067,1.2258606
1494172271138,1.7715302,-0.50813293,-1.0556793,1.2454834,-8.479523,0.75660706
1494172271239,0.9107971,-1.1270447,-0.5624542,1.3484344,-9.597626,-0.055038452
1494172271338,-0.75953674,-1.0535431,0.8639221,1.915863,-9.901688,1.2450104
1494172271439,-1.7214661,0.431427,1.5020294,1.3292847,-10.545731,1.2881165
1494172271539,-1.9984436,0.621048,1.5861816,1.5232086,-8.891327,2.5570374
1494172271639,-1.3379669,0.5347595,0.8873596,1.3723755,-10.459534,3.3088226
1494172271738,-0.4474182,-0.28016663,-0.20666504,0.98690796,-9.602417,3.8810272
1494172271839,0.28868103,-0.7020111,-0.33981323,1.7003784,-11.951126,2.6216888
1494172271938,1.0631409,0.48469543,-0.86073303,1.595047,-10.8737335,1.8986359
1494172272038,1.4711304,3.326828,-0.5486145,0.31175232,-10.203354,1.0774231
1494172272139,1.7459717,-1.0024109,-0.87138367,1.0635223,-9.461151,0.7637787
1494172272238,1.4626007,-0.8681946,-0.8021393,1.6094055,-7.3877716,0.46450806
1494172272339,0.41333008,-0.714798,-0.02130127,1.4681396,-9.157089,-0.10771179
1494172272438,-1.3155975,-0.49855042,1.6096191,2.4234314,-10.414047,1.642456
1494172272539,-1.3752594,1.2964325,0.89268494,0.8001709,-11.86972,1.3120575
1494172272639,-1.2069397,-1.0162659,0.17897034,0.3524475,-8.64473,2.7701263
1494172272738,-1.0428925,-1.0002899,0.41438293,1.994873,-8.632751,3.1029205
1494172272839,-0.76486206,-0.07350159,0.52197266,1.4322357,-10.526566,4.5944977
1494172272938,0.1491394,0.41119385,0.41651917,2.1624603,-14.673325,4.678299
1494172273038,1.4572754,0.86712646,-0.51345825,1.4011078,-13.500168,2.298462
1494172273139,1.8535614,-0.034088135,-1.2783203,0.8121338,-9.125961,1.1372833
1494172273238,1.9515686,-0.10546875,-1.514801,1.4801178,-8.805145,0.42858887
1494172273339,1.1227875,-0.42184448,-0.81066895,1.4777222,-6.6551514,0.028762817
1494172273438,-0.45700073,-0.3568573,0.8639221,1.8583984,-8.539383,0.60575867
1494172273539,-1.7715302,0.5933533,1.5787201,1.2071838,-10.660645,1.8483582
1494172273638,-1.8844604,-0.2034607,0.8969574,1.5471497,-10.244064,1.5706329
1494172273739,-1.6937714,0.07563782,1.0908356,1.678833,-8.900909,3.0047607
1494172273838,-0.98217773,-0.34194946,0.74461365,0.80973816,-9.573685,4.072571
1494172273938,0.20985413,-0.11079407,-0.18215942,1.381958,-11.635086,3.7756958
1494172274039,1.179245,-0.03727722,-0.63490295,1.2454834,-11.005417,2.042282
1494172274138,2.0335846,0.014907837,-1.3347778,0.44343567,-13.196106,1.3240204
1494172274239,2.1614227,-0.20559692,-2.1720734,1.0755005,-9.394119,0.5602722
1494172274338,1.5968323,-0.09587097,-1.2453003,1.1209869,-7.0789185,0.055099487
1494172274439,0.33129883,-0.16192627,0.41438293,1.2071838,-7.5697327,-0.062210083
1494172274538,-1.7449036,-0.6274414,2.5587616,1.7075653,-12.06604,0.81884766
1494172274639,-1.9707336,0.574173,1.544632,0.49371338,-12.896835,1.7094879
1494172274738,-1.7310486,-0.7488861,0.827713,1.5303955,-8.577698,2.8132172
1494172274839,-1.1281128,-0.79148865,0.69454956,1.4154816,-9.87056,3.5506287
1494172274938,-0.51026917,-0.34727478,0.22264099,2.2582397,-10.042938,4.137207
1494172275039,0.31744385,0.41970825,-0.078826904,2.5383606,-14.290253,4.192276
1494172275138,1.448761,0.91719055,-1.1877747,1.6596832,-11.493835,2.1093292
1494172275238,2.0687408,0.6040039,-1.3837738,0.6062317,-11.374115,1.6065369
1494172275339,2.2168121,0.26631165,-1.911087,1.144928,-10.1866,0.57225037
1494172275439,1.7406464,-0.09480286,-1.1941681,0.23034668,-7.9240723,0.1843872
1494172275538,0.04473877,-0.35047913,0.44207764,0.7211609,-6.1188507,0.4094391
1494172275639,-1.894043,-1.0908356,2.5374603,1.3220978,-10.811478,1.8651123
1494172275738,-1.9505005,0.026626587,2.2913818,0.7427063,-12.920776,1.3647308
1494172275839,-1.9100189,-1.1174622,1.4775238,1.7003784,-10.212936,3.4189453
1494172275939,-1.2463531,-0.23010254,1.1089478,2.449768,-9.18103,4.4819794
1494172276038,-0.11291504,0.1448822,0.027694702,2.4856873,-11.223282,4.7046356
1494172276138,1.0407562,0.41545105,-0.9107971,2.195984,-11.584808,3.033493
1494172276239,1.8301239,1.3294525,-1.3646088,1.9852905,-14.43631,1.7597656
1494172276338,2.1933746,0.26524353,-2.2114868,0.6732788,-11.951126,0.5578766
1494172276439,1.8120117,0.49534607,-2.2541046,1.1784515,-8.065338,0.11973572
1494172276538,0.6817627,0.41226196,-1.2133331,1.3652039,-6.7437286,0.11256409
1494172276639,-1.0450287,-0.5571289,1.3337097,1.3053436,-10.658249,1.3431854
1494172276738,-1.7725983,0.6636658,2.020813,1.4873047,-13.5815735,1.7190704
1494172276838,-2.053833,0.104400635,0.9789734,0.1537323,-9.853806,2.4157867
1494172276938,-1.880188,-0.7435608,1.3784485,1.654892,-9.26004,2.6480255
1494172277039,-1.1153259,0.06498718,0.96832275,2.6484833,-10.52179,4.4340973
1494172277138,0.21731567,0.31425476,-0.19174194,1.9565582,-14.668549,4.642395
1494172277239,1.2165375,0.2929535,-1.0492859,2.4952545,-11.613541,2.473236
1494172277338,2.0122833,2.0165405,-1.1611328,1.4082947,-10.945557,1.139679
1494172277439,2.2977753,-0.008529663,-1.5052185,0.71876526,-10.100403,0.9289856
1494172277538,1.7267914,-0.96299744,-1.4764557,1.2598572,-7.5457916,0.016784668
1494172277639,0.38882446,-0.32276917,-0.31532288,1.3484344,-7.694229,0.63449097
1494172277738,-1.2239838,-0.8309021,1.7470398,1.2550659,-9.372574,1.9776459
1494172277839,-2.070877,-0.255661,2.2200165,1.4011078,-12.140259,1.8268127
1494172277939,-2.2743378,0.14593506,2.116684,1.9206543,-10.809082,3.14122
