timestamp,gyro-alpha,gyro-beta,gyro-gamma,accel-x,accel-y,accel-z
1494171849433,-1.3241272,0.44207764,0.6838989,6.0841675,-8.118011,6.531418
1494171849532,-0.44314575,0.42184448,1.3188019,0.7043915,-9.025406,5.7700653
1494171849633,-0.27163696,-1.306015,2.0623474,0.9342346,-8.809937,4.1827087
1494171849732,-0.91719055,-1.432785,2.1859283,2.7370758,-8.386154,2.9329224
1494171849833,-1.1749878,0.45593262,2.0165405,3.6325073,-8.7836,3.3088226
1494171849933,-0.8681946,0.93955994,1.2250519,3.335617,-10.172226,5.152359
1494171850032,-0.54115295,0.26844788,0.2194519,3.4026642,-10.42601,4.36705
1494171850133,0.23329163,1.3379669,-1.1813812,2.9094543,-13.492981,2.1667786
1494171850232,0.6455536,1.2282562,-2.5268097,1.8224945,-11.201736,0.9984131
1494171850333,0.68070984,1.864212,-2.7004395,1.2047882,-8.149124,0.28494263
1494171850433,0.38456726,1.1749878,-1.9952393,0.43624878,-8.68782,-0.004760742
1494171850532,-0.6455536,0.66259766,0.747818,1.9685364,-11.417221,0.7015381
1494171850633,-0.9523468,0.747818,1.8897858,0.12260437,-11.637482,2.1572113
1494171850732,-1.0620728,-0.7328949,1.5169373,0.79537964,-8.683044,2.042282
1494171850833,-0.8042755,0.22050476,0.76805115,1.3867493,-6.3606567,2.844345
1494171850932,-0.76272583,-0.78616333,0.9619293,2.7682037,-10.969498,4.1036987
1494171851033,-0.31318665,0.89482117,-0.07670593,5.148041,-13.30864,3.7972412
1494171851132,0.95874023,0.9012146,-1.6298523,1.9804993,-13.184143,2.3056488
1494171851233,1.1824493,0.8085327,-2.468216,1.9733276,-7.483536,0.56266785
1494171851332,1.1366425,1.7821808,-2.1124268,1.0204315,-7.6678925,0.3807068
1494171851433,0.31318665,0.21199036,-0.572052,0.7235565,-12.626282,0.7518158
1494171851532,-0.61997986,0.05859375,0.96299744,0.18006897,-11.88887,1.1205139
1494171851633,-0.74142456,-1.0045471,1.9558258,0.34526062,-9.7724,1.6209106
1494171851732,-0.8735199,-2.2445068,1.6479645,1.9230499,-6.099701,1.8052673
1494171851832,-0.62957764,-1.3763275,1.0375671,4.23584,-9.925629,2.080597
1494171851933,-0.88417053,-1.6010895,0.6529999,3.7833405,-9.808319,3.0717926
1494171852033,0.41333008,0.18855286,-0.572052,2.942978,-12.994995,2.3439484
1494171852132,1.1004181,-0.38989258,-2.3457184,1.6956024,-10.059708,3.1196747
1494171852233,1.4924316,1.0215912,-2.5055084,0.4506073,-8.333481,2.8371582
1494171852332,1.3028259,0.6082611,-1.2090759,1.0802917,-6.51149,2.4373322
1494171852433,0.80641174,0.039413452,0.4740448,0.7331238,-6.9256897,2.207489
1494171852532,-0.14274597,-1.2900391,1.8567505,2.4976501,-12.049286,4.20665
1494171852633,0.2471466,-0.5944214,1.6980286,1.0276184,-10.098007,3.682312
1494171852732,0.37390137,-1.4839172,1.6767273,2.073883,-8.457977,2.8467407
1494171852833,-0.030899048,-2.7782135,0.9044037,1.2861938,-6.135605,2.2745209
1494171852932,-0.6924286,-3.2373352,0.90867615,3.3451996,-8.187439,2.5187378
1494171853033,-0.76272583,-2.7526398,0.9715271,4.6572266,-13.586365,2.5714111
1494171853133,0.24926758,-0.90867615,0.6998749,3.627716,-13.169769,2.0949554
1494171853232,0.78297424,-2.4106903,-0.39308167,1.4681396,-8.632751,2.219452
1494171853333,1.0226593,-1.575531,-0.20985413,1.8248901,-7.9599915,2.710266
1494171853432,0.65834045,-0.4229126,-0.21731567,2.3803406,-10.26561,2.4301453
1494171853533,-0.4740448,-1.1227875,1.9462433,3.0507202,-13.018936,0.44056702
1494171853632,-0.31211853,-0.76486206,1.6788635,-1.4599609,-11.285538,-1.4364929
1494171853733,0.2034607,-2.0176086,0.95448303,-1.2373047,-8.637543,-0.7325897
1494171853832,0.29400635,-2.5438538,0.6998749,-0.08808899,-6.772461,0.7542114
1494171853932,-0.34194946,-1.9494324,0.56459045,1.7195435,-9.578476,2.7868805
1494171854033,-0.48683167,-0.15765381,-0.3057251,1.9134674,-8.888931,4.4149475
1494171854132,0.25354004,0.19920349,-1.2229309,1.0826874,-13.540878,2.808426
1494171854233,0.8053436,0.23649597,-2.5204163,0.91748047,-8.412491,2.1428375
1494171854333,1.0333099,0.79574585,-2.5118866,-0.35862732,-5.9009705,1.7406158
1494171854432,0.45274353,-0.61465454,-0.25886536,-0.0234375,-10.236877,1.1995239
1494171854533,-0.31744385,-0.8969574,2.4160156,0.7211609,-14.711639,0.28494263
1494171854633,-0.65727234,-1.1643372,2.6695557,0.5272217,-11.343002,1.4461365
1494171854733,-0.66578674,-1.4945679,2.1315918,1.8655853,-6.1188507,1.0391083
1494171854832,-0.54115295,-0.18429565,1.2506256,2.4210358,-9.717331,4.1898804
1494171854932,-0.2737732,-0.13316345,0.09161377,3.208725,-10.200958,4.819565
1494171855033,0.8735199,0.6966858,-1.1867065,2.401886,-16.083511,3.469223
1494171855133,1.3464966,0.5028076,-2.6194916,1.2335205,-11.872116,2.1931152
1494171855232,1.4689941,1.9355927,-2.9720917,0.8049469,-7.653534,0.4381714
1494171855333,1.2058868,1.0013428,-1.7640839,-0.17906189,-8.07251,0.43338013
1494171855432,-0.49215698,-0.71798706,1.0002899,0.76664734,-12.157028,0.816452
1494171855533,-1.6447754,0.31851196,2.6301422,0.62060547,-11.802689,2.0710144
1494171855632,-1.9206696,-1.4104156,2.897522,-0.04498291,-10.172226,2.5546417
1494171855733,-1.4221344,-1.2666016,2.1901855,2.3324585,-7.6918335,2.1188965
1494171855833,-0.42184448,-0.18748474,0.6913605,1.3412476,-12.583191,5.090103
1494171855932,-0.018112183,-0.35899353,-0.75527954,2.7442627,-8.80275,4.908142
1494171856033,1.4178619,1.2708588,-2.2679443,0.02204895,-14.5464325,1.7262573
1494171856132,1.8237305,-0.26312256,-3.4546509,0.28781128,-11.285538,0.80448914
1494171856233,1.0258484,1.6522217,-3.0370636,0.20640564,-6.8466797,0.5483093
1494171856332,0.104400635,0.6466217,-0.5347595,-0.839859,-10.770782,0.44056702
1494171856433,-1.0162659,0.36431885,1.6863098,-0.5286102,-12.219269,0.88349915
1494171856532,-1.3124084,-1.1110687,2.4106903,-0.3658142,-11.862534,1.8579254
1494171856633,-1.13237,-1.7129517,2.0911102,1.2981567,-7.112442,1.4174042
1494171856733,-1.1643372,-1.050354,1.6980286,2.3300629,-7.306366,2.480423
1494171856832,-0.7712555,-0.15020752,0.56884766,1.2526703,-9.659866,3.8211823
1494171856933,-0.46339417,-1.1536865,-0.6508789,1.0826874,-13.66777,3.9480743
1494171857032,1.0151978,-0.2972107,-2.422409,-1.9244385,-12.705292,1.654419
1494171857133,1.4072113,-0.8213196,-2.803772,-0.8374634,-10.428406,1.7238617
1494171857232,1.2538147,-0.54115295,-1.989914,-0.59565735,-7.289612,1.2881165
1494171857333,0.605072,-0.13635254,-0.48576355,0.7211609,-6.147583,1.0917816
1494171857432,0.051132202,-0.5794983,1.5574188,1.5710907,-7.184265,1.5586548
1494171857533,-0.31744385,-1.7097473,2.7728882,2.4306183,-11.223282,1.6903381
1494171857632,-0.651947,-2.3148193,2.8794098,3.2470398,-12.633469,2.128479
1494171857733,-0.09161377,-1.1036072,0.8447571,1.0084534,-9.312714,1.8435669
1494171857833,0.12783813,-2.5246735,-0.069244385,1.5423737,-6.238556,1.1133423
1494171857932,-0.56352234,-1.5925751,-0.11505127,2.1935883,-7.105255,2.8970184
1494171858033,-0.94381714,-0.8287811,0.16618347,2.0666962,-11.714096,4.314377
1494171858132,-0.15126038,-0.9012146,-0.29400635,1.9326172,-12.386871,4.477188
1494171858233,1.13237,-1.8812561,-1.7480927,-0.08329773,-13.404404,1.5179596
1494171858332,1.050354,-1.4253235,-1.9558258,1.6596832,-10.124344,1.3551483
1494171858433,0.71798706,-0.043670654,-0.91719055,0.6636963,-8.039001,2.164383
1494171858532,-0.029830933,-0.66578674,0.5709839,1.5663147,-8.5729065,1.4150085
1494171858633,-0.7211914,-0.2737732,2.8783417,3.0531158,-11.965485,0.5363312
