timestamp,gyro-alpha,gyro-beta,gyro-gamma,accel-x,accel-y,accel-z
1494172048929,-0.029830933,0.028762817,0.051132202,3.2446442,-7.979141,4.70224
1494172049029,0.0,-0.019180298,0.046875,3.1033936,-8.050964,4.764496
1494172049128,0.0234375,-0.031951904,0.0234375,3.1105652,-8.017456,4.7309723
1494172049229,0.0234375,-0.03727722,0.026626587,3.1153564,-8.043793,4.793228
1494172049329,0.003189087,0.0138549805,0.010650635,3.172821,-8.022232,4.819565
1494172049428,-0.015975952,0.042617798,-0.004257202,3.1201477,-8.029419,4.8099823
1494172049528,-0.022369385,0.031951904,0.0010681152,3.1081696,-8.01506,4.7980194
1494172049629,-0.010650635,0.027694702,-0.004257202,3.0052185,-8.046173,4.774063
1494172049728,-0.0010681152,0.004257202,-0.004257202,3.038742,-8.070114,4.8099823
1494172049829,0.0021362305,0.01171875,-0.010650635,3.0291595,-7.962387,4.7549133
1494172049928,0.0,-0.018112183,-0.004257202,3.0866241,-7.9958954,4.7908325
1494172050029,-0.0010681152,0.029830933,-0.0095825195,3.1656342,-7.9288635,4.6759033
1494172050128,0.019180298,0.031951904,-0.012786865,2.9190369,-7.9839325,4.78125
1494172050229,0.0053253174,-0.018112183,-0.012786865,3.0986023,-7.9599915,4.932083
1494172050328,0.0010681152,0.017044067,-0.014907837,3.0602875,-8.041397,4.7788544
1494172050429,-0.003189087,0.055389404,-0.010650635,2.9022675,-7.9839325,4.757309
1494172050528,0.010650635,-0.010650635,-0.0063934326,2.9286041,-8.041397,4.654358
1494172050629,-0.0010681152,-0.014907837,-0.007461548,3.0483246,-8.012665,4.7621
1494172050728,-0.0138549805,-0.004257202,-0.01171875,3.105774,-7.998291,4.817169
1494172050828,-0.0234375,-0.020233154,-0.008529663,3.0842285,-8.039001,4.757309
1494172050928,-0.03727722,-0.0138549805,-0.0095825195,3.100998,-7.979141,4.7597046
1494172051029,-0.01171875,-0.0063934326,-0.0021362305,3.117752,-8.0629425,4.6208344
1494172051128,-0.0095825195,-0.07243347,0.0138549805,2.9884644,-8.082092,4.647171
1494172051229,-0.046875,-0.03727722,0.018112183,3.2422485,-8.125183,4.709427
1494172051328,-0.052200317,0.02557373,0.0021362305,3.093811,-8.05336,4.685486
1494172051429,-0.09587097,0.041549683,0.022369385,3.1656342,-8.115616,4.6208344
1494172051528,-0.043670654,0.06604004,0.017044067,2.9956512,-8.232925,4.333542
1494172051628,-0.042617798,-0.07350159,0.015975952,2.808899,-8.30954,4.3718414
1494172051729,-0.078826904,-0.0703125,0.003189087,3.1943665,-8.254471,4.2617188
1494172051829,-0.07989502,0.06071472,-0.0063934326,3.077057,-8.213776,4.3479004
1494172051928,-0.06498718,-0.07989502,0.038345337,3.1201477,-8.589661,4.185089
1494172052029,-0.051132202,-0.14060974,0.015975952,2.8232727,-8.029419,4.0366516
1494172052128,-0.11291504,-0.16725159,-0.02557373,3.3619537,-8.3694,4.3000183
1494172052228,-0.111846924,0.21305847,-0.078826904,3.2566223,-8.584869,4.1635437
1494172052330,-0.1257019,0.003189087,0.0063934326,2.8903046,-8.522629,3.828354
1494172052429,-0.11505127,0.02130127,-0.017044067,3.2781677,-8.551361,3.7709045
1494172052528,-0.05859375,-0.008529663,0.0021362305,3.282959,-8.668671,3.6128845
1494172052629,0.0053253174,-0.0138549805,-0.0234375,2.9621277,-8.56572,3.5458374
