timestamp,gyro-alpha,gyro-beta,gyro-gamma,accel-x,accel-y,accel-z
1494365584582,-1.2016183,-1.9196066,1.0215886,3.515885,-13.443442,-0.5315128
1494365584680,-0.6583334,-0.025566347,1.3954965,6.703765,-8.971074,2.099715
1494365584780,0.406931,2.6003106,0.7435546,4.465186,-9.768343,1.0654198
1494365584881,1.3347764,-0.14807177,-0.664725,2.6360161,-11.253945,-0.81402856
1494365584981,0.8724516,-0.9044095,-1.865278,3.620033,-10.575189,-0.33638534
1494365585081,0.36325517,1.5211977,-1.9611518,3.1962593,-9.856929,-1.1432313
1494365585181,-0.38562572,1.4349113,-2.320146,1.3790601,-9.871294,-1.2533646
1494365585280,-0.81066626,1.4029533,-0.8607337,0.11133038,-8.093599,0.8810662
1494365585380,-0.84581995,0.77125144,0.99282646,0.31004912,-7.908048,1.067814
1494365585481,-0.88949585,0.12357068,2.6951191,3.3770216,-11.51611,2.7940333
1494365585581,-0.38775626,0.7105314,2.992328,7.2484455,-15.440207,3.1555579
1494365585681,0.34088463,3.2629051,-0.11824436,4.829105,-10.447099,-0.5650316
1494365585781,0.8564726,2.0836573,-1.4231933,2.4672248,-7.5932107,-2.4384944
1494365585880,0.4111921,1.1206582,-1.3741912,3.1471782,-10.429143,-3.537433
1494365585981,-0.05752428,1.2538162,-1.6692694,1.0283096,-12.455834,-3.4153287
1494365586081,-0.69987875,0.33662358,0.9502159,1.364695,-10.338163,1.3754689
1494365586181,-0.6668556,1.257012,0.8926916,-0.9935937,-9.898827,0.7098808
1494365586280,-0.39627838,-1.5883093,0.793622,1.3730747,-8.329428,1.7717092
1494365586380,-0.06924219,-0.20879184,0.6295713,5.2516813,-8.583213,1.9381063
1494365586481,-0.29188246,1.8002969,0.058589544,4.086902,-8.009802,2.3175871
1494365586581,0.165116,1.3805827,-0.757403,3.3614593,-14.4609785,0.19991584
1494365586680,0.10013486,1.5606124,-1.7598169,2.7449522,-10.857705,0.32321724
1494365586781,0.27164245,1.9323897,-1.3827133,1.9979613,-8.061277,-1.0522517
1494365586881,0.17896444,0.54648066,-1.3486248,1.460463,-7.253234,-0.35075054
1494365586981,0.5305017,0.098004326,-0.5954828,1.9081788,-10.127473,0.0011971008
1494365587081,0.02876214,-1.3070794,0.49960902,0.40462008,-13.043611,-0.48722005
1494365587181,-0.37390783,-1.474326,2.2913837,3.7086184,-9.617508,1.7345991
1494365587280,-0.11930962,0.066046394,1.743838,3.8379054,-9.838972,0.6356605
1494365587381,-0.13422333,-2.340386,0.47723848,2.5390508,-7.133524,0.7146692
1494365587480,0.041545313,-1.1590078,0.34088463,4.51307,-8.213309,1.1444284
1494365587581,-0.029827405,0.44208476,0.20240025,5.6431336,-14.237121,3.5697548
1494365587681,0.25992453,1.1824435,-0.14594123,4.429273,-14.572309,1.5502456
1494365587780,0.3653857,1.4327807,-1.5020229,2.9652188,-10.317812,0.78050977
1494365587881,0.6849651,1.2559468,-1.7086842,1.0199299,-6.873753,-0.61411273
1494365587981,0.82557994,0.38775626,-0.9171927,2.0626047,-9.428367,-0.30166942
1494365588080,0.55287224,-0.88949585,-0.7765778,0.6607997,-12.556391,-0.5770026
1494365588181,-0.6103965,-2.1688783,1.1675298,3.0789435,-9.574412,2.7246015
1494365588281,-0.51665324,0.5592638,2.267948,3.453636,-10.031705,2.8658595
1494365588380,-0.3334278,-0.7755125,1.7246631,1.4796166,-7.0784574,1.9057846
1494365588480,-0.0010652645,-1.7672738,1.3283848,4.9284644,-9.279925,1.2797008
1494365588581,-0.18322548,0.41225734,0.5070659,6.0561333,-10.83496,3.1603463
1494365588680,0.20559604,0.9395633,-0.73822826,3.7565024,-14.2622595,1.412579
1494365588782,0.13102753,0.664725,-2.1624868,3.3626564,-9.878476,1.0031705
1494365588880,0.67963874,2.2008364,-2.0612867,2.2625206,-8.3868885,-0.033518825
1494365588980,0.46339005,0.8127968,-1.0279802,1.2006922,-7.489063,-0.6715736
1494365589081,0.61572284,-0.16937704,0.00958738,-0.50757074,-10.685322,-0.5482722
1494365589180,-1.1867046,-2.0165455,1.5233282,1.1731589,-14.122199,1.0546459
1494365589281,-0.3930826,0.47617322,1.3731259,3.0346506,-9.041702,2.705448
1494365589380,-0.19387813,-1.7140105,1.0865698,1.163582,-7.8589673,1.4089876
1494365589480,0.17576863,-3.5228295,0.83516735,5.282806,-7.799112,2.2146366
1494365589581,-0.013848438,0.6785734,1.055677,6.2823853,-9.507375,3.016694
1494365589680,0.13315806,1.2985574,0.09054748,5.0397944,-14.270639,1.7513585
1494365589781,0.15233281,0.88203895,-2.0005667,2.1655555,-9.69532,2.2589293
1494365589881,0.47404268,1.2112057,-2.4873924,2.6623523,-9.603143,0.19632454
1494365589981,0.2609898,0.53263223,-1.9110844,0.90141696,-8.084022,-0.7326257
1494365590081,0.22050974,-0.058589544,-0.48682585,1.4628572,-9.091981,-0.020350715
1494365590181,-0.03195793,-0.38136467,1.4508902,0.985214,-12.656947,-0.7613561
1494365590280,-0.6679208,-1.8439728,2.944391,3.7936125,-10.251971,2.873042
1494365590381,-0.30679616,1.2026836,1.6799221,4.1060557,-9.581595,0.10414778
1494365590480,-0.32277513,-1.478587,0.49321744,2.742558,-7.9990277,1.7908629
1494365590580,0.008522116,-1.2591426,-0.082025364,5.461174,-7.771579,1.9835961
1494365590681,-0.035153728,1.635181,-0.5954828,4.19943,-13.6014595,1.3623008
1494365590780,0.12676647,1.7417074,-0.7275756,2.992752,-15.391126,-0.6967127
1494365590881,-0.21944448,2.722816,-0.7275756,3.3734303,-10.177752,-0.4369418
1494365590980,0.32170987,2.5374599,-0.36645097,1.8411411,-8.306683,-1.9488802
1494365591081,0.77870834,0.98750013,-0.73609775,2.0602105,-9.697714,-0.92416185
1494365591180,0.3898868,-0.48043427,-1.3646038,1.2030864,-10.948685,-1.3491327
1494365591281,-0.44421527,-1.3805827,0.4463458,2.243367,-9.167398,0.5470751
1494365591381,-1.0333065,1.2335763,1.3635385,2.906561,-8.9998045,1.8710686
1494365591480,-0.98750013,1.865278,1.0844392,1.6711528,-10.04607,0.9720459
1494365591580,-0.44208476,-0.6380934,0.7435546,4.7536874,-9.221268,3.1148565
1494365591680,0.06924219,2.6482475,0.34621096,5.649119,-9.028535,2.1691468
1494365591781,0.51984906,3.439739,0.023435818,5.01705,-12.1398,-0.62847793
1494365591880,0.93423694,3.310842,-1.1462245,2.8383262,-10.035296,-2.3750482
1494365591981,0.96939063,1.7704695,-1.5222629,3.2716765,-10.336966,-3.3638535
1494365592080,0.1949434,2.3499734,-1.6937705,2.5809495,-9.43076,-2.9951463
1494365592181,0.08841695,1.4647386,-1.2442288,2.517503,-9.095572,-2.5270798
1494365592281,-0.74675035,0.757403,-1.3070794,2.27928,-12.856863,-2.4169466
1494365592380,-2.1156151,1.7459685,-1.0002834,4.2305546,-8.559271,2.9221232
1494365592481,-1.9771309,4.713795,-0.35899413,3.371036,-11.404779,0.08020575
