timestamp,gyro-alpha,gyro-beta,gyro-gamma,accel-x,accel-y,accel-z
1494365965486,0.6327671,1.0205233,-0.22370553,1.8854338,-9.0476885,3.098097
1494365965586,0.45060685,0.721184,-0.17576863,2.7162218,-8.755595,3.7612908
1494365965686,0.45593318,0.77125144,-0.13741912,2.2637177,-8.625112,4.0641575
1494365965786,0.42717105,0.34301516,-0.5113269,1.8088194,-8.171411,4.6698904
1494365965886,0.33449304,0.4676511,-0.41758367,1.5107412,-7.8793178,5.422867
1494365965985,0.33981937,0.0063915867,-0.22370553,1.5705963,-7.785944,5.7424927
1494365966086,0.33449304,-0.05752428,-0.23755397,2.2505496,-7.4244194,6.081272
1494365966185,0.34194988,0.07989483,-0.40906155,2.4887726,-7.0964136,6.4990606
1494365966286,0.24607609,0.12037488,-0.42077947,2.4289176,-6.229713,6.567295
1494365966386,0.1438107,-0.039414786,-0.18216023,2.6300306,-6.331466,6.4260373
1494365966485,0.16085494,-0.11930962,-0.05006743,3.0454245,-6.5589156,6.1303535
1494365966586,0.10652645,-1.2101405,0.5422196,3.1735144,-5.159505,3.9217024
1494365966686,-1.3901701,-2.3734093,1.1781825,2.9771898,-8.319851,2.397793
1494365966785,-1.4306501,-1.3624732,1.8961707,3.728969,-10.104729,4.2461166
1494365966886,-0.58909124,-1.0130665,1.2911005,4.5992613,-10.396821,3.8055837
1494365966986,0.008522116,-0.62104917,0.0479369,4.19943,-8.838196,2.1930888
1494365967086,-0.27057716,-0.81066626,-0.2759035,1.934515,-9.32781,2.2744915
1494365967186,-0.05752428,-0.19920446,0.0127831735,1.8255788,-9.910798,2.6240451
1494365967286,0.12996227,-0.9672601,0.033023197,2.2397757,-9.651027,2.03148
1494365967385,0.16192019,-0.080960095,0.15659387,2.2840683,-9.241618,1.401805
1494365967485,0.0958738,-0.35792887,0.1768339,2.6372132,-9.215282,1.3455414
1494365967586,0.10333065,-0.44421527,-0.0053263223,2.681506,-9.390059,1.3970166
1494365967685,0.023435818,-0.2972088,-0.013848438,2.6599581,-9.15423,1.5406688
1494365967786,0.11824436,-0.21518342,-0.053263225,2.6994624,-9.3421755,1.6400281
1494365967885,0.16085494,-0.59122175,-0.07243799,2.6850972,-9.572019,1.5167267
1494365967986,0.027696876,-0.00958738,0.029827405,2.730587,-9.119514,1.7561469
1494365968085,0.1470065,-0.1555286,0.10759171,2.7569232,-9.312247,1.5334862
1494365968186,0.12357068,-0.39840892,-0.020240024,2.942474,-9.157822,1.3323733
1494365968285,-0.037284255,0.06711166,0.04261058,2.8874073,-9.197326,1.4437037
1494365968385,-0.051132694,-0.13209279,-0.004261058,2.682703,-9.338584,1.6220716
1494365968485,-0.018109497,-0.15126756,0.008522116,2.777274,-9.43076,1.6316484
1494365968585,-0.020240024,-0.12676647,0.060720075,2.7844565,-9.431957,1.6472107
1494365968686,0.03089267,-0.068176925,0.099069595,2.7940333,-9.370906,1.6184803
1494365968785,0.070307456,-0.06498113,0.06391586,2.896984,-9.258378,1.5933412
1494365968885,0.07669904,-0.113983296,-0.0010652645,2.705448,-9.238028,1.3862427
1494365968985,0.03195793,-0.020240024,-0.02130529,2.60968,-9.285912,1.423353
1494365969086,-0.008522116,-0.02876214,-0.0010652645,2.5701754,-9.307459,1.4987702
1494365969186,-0.0063915867,-0.025566347,0.02130529,2.6192567,-9.283517,1.5658079
1494365969286,-0.014913702,-0.0031957934,0.024501082,2.8311436,-9.28232,1.6053122
1494365969385,-0.008522116,0.041545313,-0.0063915867,2.8179753,-9.248801,1.5586253
1494365969486,-0.0127831735,0.053263225,-0.06498113,2.7246015,-9.291897,1.4449008
1494365969586,-0.02876214,0.08628642,-0.041545313,2.6922798,-9.32781,1.4209588
1494365969685,-0.026631612,0.039414786,-0.03089267,2.6803088,-9.354146,1.4556746
1494365969786,-0.007456851,0.054328486,-0.024501082,2.7281928,-9.3661175,1.5310919
1494365969885,0.002130529,0.034088463,-0.027696876,2.789245,-9.3182335,1.4496891
1494365969986,-0.008522116,0.054328486,-0.00958738,2.7377696,-9.257181,1.5035586
1494365970086,-0.00958738,0.029827405,-0.01917476,2.7868507,-9.391256,1.496376
1494365970185,-0.0031957934,0.0479369,-0.0010652645,2.870648,-9.287108,1.5191209
1494365970286,-0.011717909,0.03834952,-0.01917476,2.790442,-9.287108,1.5035586
1494365970386,-0.020240024,0.07989483,-0.014913702,2.823961,-9.285912,1.5239093
1494365970486,-0.018109497,0.07137272,-0.017044231,2.822764,-9.287108,1.5658079
1494365970586,-0.01917476,0.0777643,-0.029827405,2.7485435,-9.329007,1.4760253
1494365970686,-0.020240024,0.082025364,-0.018109497,2.7341783,-9.40203,1.555034
1494365970786,-0.008522116,0.101200126,0.024501082,2.7449522,-9.350554,1.543063
1494365970886,0.010652645,0.011717909,0.0,2.7617116,-9.300277,1.4161704
1494365970986,-0.0063915867,0.043675844,0.0127831735,2.6874914,-9.28232,1.4329298
1494365971086,0.004261058,-0.033023197,0.0127831735,2.6755204,-9.317036,1.4999673
1494365971186,0.0031957934,-0.035153728,0.043675844,2.7353754,-9.295488,1.5454572
1494365971286,0.013848438,-0.017044231,0.026631612,2.731784,-9.283517,1.4999673
1494365971386,-0.0031957934,-0.004261058,0.00958738,2.8550856,-9.220071,1.5071499
1494365971485,-0.017044231,-0.06391586,-0.013848438,2.7497406,-9.23683,1.401805
1494365971586,-0.040480047,0.054328486,-0.0053263223,2.6767175,-9.3661175,1.5861586
1494365971686,-0.002130529,-0.013848438,0.0063915867,2.7449522,-9.339781,1.6687586
1494365971786,0.022370555,0.007456851,-0.011717909,2.789245,-9.303867,1.4915876
1494365971885,0.014913702,0.02130529,-0.051132694,2.7281928,-9.336189,1.3694834
1494365971986,-0.027696876,0.020240024,-0.029827405,2.6479871,-9.27394,1.4425066
1494365972085,-0.026631612,0.0,-0.007456851,2.6144683,-9.380483,1.5059528
1494365972186,0.0063915867,-0.03089267,0.0053263223,2.755726,-9.331401,1.5251064
1494365972286,0.0053263223,-0.02876214,0.018109497,2.8203697,-9.314642,1.4784195
1494365972386,0.0063915867,-0.022370555,-0.008522116,2.7952304,-9.306262,1.4532804
1494365972486,0.022370555,-0.014913702,-0.0053263223,2.8203697,-9.323022,1.4987702
1494365972585,0.004261058,-0.02876214,0.007456851,2.7856536,-9.242816,1.4305356
1494365972686,-0.018109497,0.02130529,0.03195793,2.8335378,-9.281123,1.4329298
1494365972786,-0.025566347,0.0031957934,0.004261058,2.858677,-9.394848,1.4544775
1494365972886,-0.013848438,0.034088463,-0.0031957934,2.765303,-9.296685,1.5610195
1494365972986,0.013848438,0.01917476,0.011717909,2.7150247,-9.334992,1.4975731
1494365973086,0.020240024,0.051132694,0.029827405,2.8048072,-9.31943,1.4652514
1494365973186,0.011717909,0.002130529,0.0127831735,2.7210102,-9.277532,1.4329298
1494365973286,0.029827405,-0.10013486,-0.0127831735,2.3822308,-9.299079,1.30484
1494365973386,-0.033023197,-0.010652645,0.07243799,2.8395233,-9.299079,1.532289
1494365973486,-0.03195793,-0.0127831735,0.025566347,2.790442,-9.340978,1.555034
1494365973585,0.023435818,0.027696876,-0.03195793,2.730587,-9.317036,1.4820108
1494365973685,0.026631612,0.0031957934,-0.04474111,2.6252422,-9.375694,1.401805
1494365973786,0.002130529,0.002130529,-0.008522116,2.610877,-9.313444,1.447295
1494365973886,0.015978966,-0.03195793,0.017044231,2.6539726,-9.276335,1.4425066
1494365973986,-0.0063915867,0.037284255,0.026631612,2.743755,-9.314642,1.412579
1494365974085,-0.020240024,0.0063915867,-0.0031957934,2.7269957,-9.309854,1.459266
1494365974186,-0.00958738,-0.011717909,0.0010652645,2.6527755,-9.323022,1.4496891
1494365974286,-0.004261058,0.022370555,0.0127831735,2.621651,-9.36492,1.4784195
1494365974385,-0.010652645,-0.004261058,0.002130529,2.7353754,-9.289502,1.4556746
1494365974486,-0.00958738,0.004261058,-0.013848438,2.658761,-9.336189,1.4173675
1494365974586,-0.0053263223,0.017044231,-0.033023197,2.6599581,-9.372103,1.3934253
1494365974686,-0.013848438,0.002130529,-0.015978966,2.6755204,-9.370906,1.4496891
1494365974785,0.00958738,-0.011717909,-0.00958738,2.6372132,-9.369708,1.4760253
1494365974886,0.022370555,0.007456851,0.0053263223,2.778471,-9.386468,1.4760253
1494365974986,0.011717909,-0.0127831735,-0.0031957934,2.7234044,-9.251195,1.353921
1494365975086,0.0031957934,0.015978966,-0.013848438,2.7341783,-9.361329,1.3802572
1494365975186,-0.0063915867,0.0063915867,-0.007456851,2.7688942,-9.338584,1.4317327
1494365975286,-0.011717909,-0.007456851,0.011717909,2.7234044,-9.308656,1.447295
1494365975386,-0.002130529,0.01917476,-0.002130529,2.7341783,-9.321824,1.4305356
1494365975486,0.010652645,0.004261058,-0.0053263223,2.7760768,-9.351752,1.4449008
1494365975585,-0.0010652645,0.0063915867,-0.017044231,2.7485435,-9.255983,1.400608
1494365975685,0.010652645,-0.002130529,-0.015978966,2.7569232,-9.321824,1.412579
1494365975786,-0.008522116,0.008522116,0.0010652645,2.7102363,-9.411607,1.4652514
1494365975886,0.0053263223,0.025566347,0.033023197,2.7353754,-9.337387,1.5514427
1494365975986,0.022370555,0.002130529,0.033023197,2.7868507,-9.25359,1.4329298
1494365976086,0.011717909,0.04474111,0.014913702,2.718616,-9.315839,1.3994108
1494365976186,0.004261058,-0.02130529,-0.023435818,2.706645,-9.260772,1.4748282
1494365976285,0.022370555,-0.034088463,-0.013848438,2.6276364,-9.31105,1.484405
1494365976385,0.014913702,0.02130529,0.0053263223,2.6922798,-9.333796,1.4820108
1494365976485,0.002130529,-0.014913702,0.0031957934,2.7629087,-9.3026705,1.5310919
1494365976586,0.0053263223,-0.020240024,-0.004261058,2.7114334,-9.3026705,1.4856021
1494365976686,-0.004261058,0.01917476,-0.002130529,2.6839,-9.346964,1.4999673
1494365976785,-0.022370555,0.013848438,0.0053263223,2.767697,-9.324219,1.5346833
1494365976886,-0.002130529,-0.054328486,-0.020240024,2.6755204,-9.293094,1.483208
1494365976985,0.004261058,0.025566347,-0.0010652645,2.7090392,-9.31943,1.4413095
1494365977086,-0.0010652645,-0.03195793,0.0127831735,2.7401638,-9.323022,1.5071499
1494365977186,-0.010652645,-0.0063915867,0.0063915867,2.693477,-9.287108,1.483208
1494365977286,0.0010652645,-0.0127831735,0.010652645,2.7748797,-9.367314,1.4688427
1494365977386,-0.0010652645,-0.008522116,0.004261058,2.7257986,-9.285912,1.4377182
1494365977486,0.00958738,-0.05006743,-0.007456851,2.742558,-9.313444,1.4544775
1494365977585,0.004261058,-0.007456851,-0.0053263223,2.6755204,-9.334992,1.459266
1494365977686,0.0053263223,-0.017044231,0.008522116,2.8299465,-9.333796,1.4867992
1494365977785,0.015978966,-0.027696876,0.004261058,2.6898856,-9.3026705,1.4616601
1494365977886,0.004261058,0.029827405,0.00958738,2.7389667,-9.332599,1.4999673
1494365977985,-0.0053263223,-0.023435818,0.0010652645,2.7042508,-9.288305,1.4676456
1494365978086,-0.002130529,0.015978966,0.010652645,2.7246015,-9.349358,1.543063
1494365978186,0.014913702,0.033023197,0.011717909,2.7665,-9.344569,1.5131354
1494365978285,0.0127831735,0.0053263223,-0.0053263223,2.7736826,-9.284714,1.4927847
1494365978386,0.00958738,0.01917476,-0.011717909,2.6491842,-9.303867,1.4544775
1494365978485,0.007456851,0.03834952,0.004261058,2.6611552,-9.332599,1.5095441
1494365978585,-0.008522116,0.0053263223,0.002130529,2.6922798,-9.244013,1.4999673
1494365978686,-0.008522116,-0.013848438,-0.00958738,2.658761,-9.2907,1.3718776
1494365978785,-0.02130529,0.020240024,-0.004261058,2.7006595,-9.289502,1.4317327
1494365978886,-0.024501082,0.00958738,-0.008522116,2.6791117,-9.400833,1.5490485
1494365978986,0.015978966,-0.05539375,-0.020240024,2.634819,-9.325416,1.5227122
1494365979086,0.0031957934,0.023435818,0.011717909,2.7449522,-9.350554,1.4556746
1494365979186,-0.004261058,-0.03834952,-0.0053263223,2.743755,-9.246407,1.3970166
1494365979286,-0.007456851,-0.0010652645,-0.004261058,2.7102363,-9.3661175,1.4891934
1494365979387,0.0,-0.0031957934,0.004261058,2.7114334,-9.340978,1.4736311
1494365979486,0.0,0.0,0.014913702,2.743755,-9.355343,1.4389153
1494365979585,0.00958738,-0.00958738,-0.0053263223,2.7449522,-9.300277,1.4616601
1494365979686,0.002130529,0.02130529,-0.0031957934,2.7605145,-9.358934,1.508347
1494365979786,0.010652645,-0.03089267,-0.0063915867,2.7162218,-9.212888,1.4508862
1494365979886,-0.0010652645,0.02876214,0.004261058,2.7150247,-9.361329,1.4077905
1494365979985,-0.007456851,0.0031957934,-0.004261058,2.7844565,-9.31943,1.471237
1494365980086,-0.018109497,-0.004261058,0.0,2.7162218,-9.360131,1.4676456
1494365980185,0.004261058,-0.004261058,0.002130529,2.6970682,-9.350554,1.5071499
1494365980285,-0.002130529,0.041545313,0.018109497,2.7880478,-9.376891,1.5251064
1494365980385,0.018109497,0.022370555,0.0063915867,2.6839,-9.242816,1.4939818
1494365980485,0.02876214,0.0063915867,0.0031957934,2.6539726,-9.333796,1.353921
1494365980585,-0.0127831735,0.03089267,0.004261058,2.693477,-9.295488,1.4065934
1494365980686,-0.027696876,-0.013848438,0.010652645,2.6910827,-9.352949,1.4796166
1494365980786,-0.0053263223,-0.011717909,0.011717909,2.645593,-9.307459,1.532289
1494365980886,-0.010652645,0.03195793,0.018109497,2.7581203,-9.361329,1.4556746
1494365980985,-0.014913702,-0.008522116,0.0031957934,2.7006595,-9.249998,1.4293385
1494365981086,-0.014913702,0.02876214,-0.008522116,2.6072857,-9.372103,1.4197617
1494365981186,-0.004261058,0.03089267,-0.0053263223,2.6288335,-9.409213,1.435324
1494365981285,0.002130529,-0.033023197,0.0,2.6192567,-9.3661175,1.4341269
1494365981385,0.0,0.004261058,0.0031957934,2.6072857,-9.3421755,1.4161704
1494365981486,0.0,0.004261058,0.0010652645,2.7114334,-9.384073,1.4329298
1494365981585,0.002130529,-0.014913702,-0.010652645,2.6431987,-9.306262,1.4209588
1494365981686,0.00958738,-0.00958738,-0.011717909,2.621651,-9.384073,1.423353
1494365981786,0.007456851,0.011717909,-0.0053263223,2.7449522,-9.369708,1.4556746
1494365981886,-0.0010652645,-0.010652645,-0.0063915867,2.6982653,-9.334992,1.436521
1494365981986,-0.002130529,0.0127831735,-0.010652645,2.6300306,-9.354146,1.411382
1494365982086,-0.008522116,0.023435818,0.01917476,2.743755,-9.374496,1.448492
1494365982185,-0.0031957934,-0.0010652645,0.0,2.7377696,-9.283517,1.4425066
1494365982286,0.004261058,0.05006743,-0.020240024,2.6910827,-9.374496,1.4377182
1494365982386,0.018109497,0.022370555,-0.0127831735,2.7006595,-9.367314,1.4413095
1494365982485,0.008522116,-0.011717909,0.010652645,2.6431987,-9.355343,1.4640543
1494365982586,0.011717909,0.0010652645,0.010652645,2.6623523,-9.331401,1.5047557
1494365982686,0.017044231,0.010652645,0.017044231,2.753332,-9.3421755,1.5286977
1494365982785,0.018109497,-0.00958738,0.002130529,2.7389667,-9.224859,1.5394717
1494365982886,0.01917476,0.024501082,-0.008522116,2.6515784,-9.296685,1.4293385
1494365982986,-0.00958738,0.026631612,-0.010652645,2.7006595,-9.279925,1.4676456
1494365983086,-0.023435818,-0.013848438,0.0031957934,2.657564,-9.340978,1.5251064
1494365983186,-0.008522116,0.004261058,0.011717909,2.6527755,-9.312247,1.5310919
1494365983286,-0.0010652645,-0.0053263223,0.0063915867,2.7485435,-9.320627,1.5059528
1494365983386,0.008522116,-0.018109497,-0.0063915867,2.7617116,-9.25359,1.555034
1494365983486,-0.0063915867,0.03089267,-0.013848438,2.7246015,-9.349358,1.4269443
1494365983586,-0.00958738,-0.007456851,-0.0127831735,2.7569232,-9.331401,1.5035586
1494365983686,-0.018109497,0.0063915867,0.004261058,2.6922798,-9.361329,1.5155296
1494365983786,-0.0053263223,0.046871636,-0.0053263223,2.705448,-9.324219,1.5227122
1494365983886,0.008522116,0.03089267,0.0031957934,2.778471,-9.343372,1.4951789
1494365983986,0.0,-0.002130529,0.0,2.6431987,-9.257181,1.4089876
1494365984085,-0.0127831735,0.0127831735,0.004261058,2.6898856,-9.326612,1.3670892
1494365984185,-0.0127831735,-0.00958738,0.007456851,2.72939,-9.350554,1.5011644
1494365984286,-0.008522116,-0.01917476,0.0031957934,2.743755,-9.376891,1.5167267
1494365984386,0.007456851,-0.0010652645,-0.004261058,2.6671407,-9.321824,1.472434
1494365984486,0.0053263223,0.02130529,0.008522116,2.7006595,-9.349358,1.4161704
1494365984585,0.00958738,-0.013848438,0.002130529,2.6874914,-9.272743,1.5059528
1494365984686,0.00958738,0.017044231,-0.0010652645,2.6850972,-9.354146,1.4161704
1494365984786,-0.008522116,-0.025566347,-0.004261058,2.7030537,-9.358934,1.4568717
1494365984886,-0.015978966,0.026631612,0.020240024,2.6491842,-9.397242,1.5514427
1494365984986,0.01917476,-0.014913702,0.0053263223,2.717419,-9.376891,1.5119383
1494365985086,0.010652645,0.020240024,0.013848438,2.741361,-9.324219,1.4532804
1494365985186,0.007456851,0.0063915867,0.002130529,2.695871,-9.294291,1.5358804
1494365985286,0.017044231,0.043675844,0.0031957934,2.6647465,-9.344569,1.483208
1494365985386,0.00958738,0.0053263223,-0.0063915867,2.658761,-9.303867,1.4772224
1494365985485,-0.0063915867,0.0053263223,0.00958738,2.597709,-9.336189,1.483208
1494365985586,-0.002130529,-0.0053263223,0.002130529,2.5917234,-9.317036,1.4580688
1494365985686,-0.0063915867,-0.015978966,0.015978966,2.6862943,-9.331401,1.4652514
1494365985786,-0.022370555,-0.025566347,0.014913702,2.6779146,-9.294291,1.4915876
1494365985886,-0.008522116,0.004261058,0.00958738,2.6252422,-9.355343,1.4700398
1494365985986,-0.0063915867,0.0053263223,0.002130529,2.7210102,-9.356541,1.4856021
1494365986086,-0.0053263223,-0.0479369,-0.002130529,2.6563668,-9.360131,1.4772224
1494365986186,-0.0063915867,0.025566347,0.0,2.634819,-9.369708,1.4796166
1494365986286,-0.0031957934,-0.0010652645,0.0031957934,2.6623523,-9.339781,1.448492
1494365986386,0.0031957934,-0.004261058,-0.0010652645,2.6252422,-9.32781,1.4820108
1494365986486,0.0053263223,0.02876214,0.0010652645,2.6300306,-9.380483,1.3479356
1494365986585,0.0031957934,-0.041545313,-0.020240024,2.6001031,-9.340978,1.376666
1494365986686,-0.00958738,-0.017044231,0.0063915867,2.6084828,-9.374496,1.459266
1494365986785,0.010652645,-0.00958738,0.011717909,2.6240451,-9.380483,1.4784195
1494365986885,0.018109497,-0.0127831735,0.007456851,2.7389667,-9.330204,1.4077905
1494365986986,-0.0063915867,-0.0053263223,-0.0053263223,2.706645,-9.3026705,1.4197617
1494365987085,-0.01917476,0.040480047,-0.015978966,2.7030537,-9.414001,1.4377182
1494365987186,0.004261058,0.020240024,0.0,2.6360161,-9.412804,1.4867992
1494365987286,0.0031957934,0.03089267,0.014913702,2.6144683,-9.36492,1.4173675
1494365987385,0.00958738,0.03089267,0.007456851,2.669535,-9.349358,1.3694834
1494365987486,0.010652645,0.010652645,-0.0031957934,2.6791117,-9.344569,1.4437037
1494365987586,0.00958738,-0.008522116,0.004261058,2.6372132,-9.345766,1.5095441
1494365987686,0.022370555,0.018109497,0.007456851,2.6264393,-9.345766,1.4951789
1494365987786,0.00958738,0.0,0.002130529,2.7006595,-9.31105,1.4449008
1494365987886,-0.0127831735,-0.008522116,0.0010652645,2.6659436,-9.31943,1.4867992
1494365987986,-0.00958738,0.0127831735,-0.008522116,2.622848,-9.337387,1.4987702
1494365988086,-0.004261058,-0.0010652645,0.007456851,2.670732,-9.309854,1.4664485
1494365988185,-0.013848438,-0.0053263223,0.015978966,2.6515784,-9.293094,1.4808137
1494365988286,-0.00958738,0.024501082,0.0063915867,2.6180596,-9.360131,1.4329298
1494365988386,-0.008522116,-0.00958738,-0.0031957934,2.6431987,-9.356541,1.4544775
1494365988486,-0.014913702,-0.02876214,0.0,2.6084828,-9.3733,1.4915876
1494365988586,-0.004261058,0.008522116,0.008522116,2.6013002,-9.399636,1.4317327
1494365988686,0.0010652645,-0.020240024,0.004261058,2.6731262,-9.345766,1.4257472
1494365988785,-0.00958738,-0.013848438,0.0,2.6599581,-9.368511,1.435324
1494365988886,-0.0053263223,0.01917476,0.004261058,2.6372132,-9.385271,1.3910311
1494365988986,-0.004261058,0.002130529,-0.002130529,2.586935,-9.356541,1.389834
1494365989086,-0.0063915867,0.011717909,0.008522116,2.542642,-9.421184,1.3802572
1494365989186,0.010652645,0.0010652645,0.0063915867,2.585738,-9.397242,1.448492
1494365989286,0.020240024,-0.00958738,0.0,2.6180596,-9.379285,1.3730747
1494365989386,0.014913702,-0.033023197,-0.007456851,2.5629928,-9.382876,1.3587095
1494365989486,0.0053263223,-0.013848438,0.004261058,2.6180596,-9.351752,1.353921
1494365989585,-0.024501082,-0.025566347,0.011717909,2.6791117,-9.331401,1.423353
1494365989685,-0.024501082,0.054328486,0.013848438,2.6922798,-9.406818,1.5131354
1494365989785,0.029827405,0.002130529,-0.020240024,2.670732,-9.376891,1.4556746
1494365989886,0.022370555,0.039414786,-0.0063915867,2.6420016,-9.355343,1.365892
1494365989986,0.004261058,0.010652645,-0.004261058,2.6168625,-9.362526,1.400608
1494365990085,0.017044231,0.046871636,-0.00958738,2.6276364,-9.386468,1.4496891
1494365990186,0.018109497,-0.029827405,-0.011717909,2.633622,-9.295488,1.4413095
1494365990286,-0.0063915867,0.007456851,0.007456851,2.6024973,-9.324219,1.4149733
1494365990386,-0.0031957934,0.008522116,-0.002130529,2.6312277,-9.352949,1.4748282
1494365990485,-0.0010652645,-0.0010652645,0.0031957934,2.6491842,-9.32781,1.484405
1494365990586,-0.002130529,-0.022370555,0.00958738,2.6084828,-9.350554,1.435324
1494365990686,-0.0010652645,0.03195793,0.007456851,2.6479871,-9.352949,1.4269443
1494365990786,-0.0127831735,-0.033023197,-0.0053263223,2.706645,-9.309854,1.423353
1494365990886,-0.020240024,-0.017044231,0.0063915867,2.5677812,-9.3421755,1.448492
1494365990986,-0.008522116,0.025566347,0.0031957934,2.6683378,-9.386468,1.4568717
1494365991086,0.0063915867,-0.035153728,-0.0010652645,2.657564,-9.352949,1.4496891
1494365991186,-0.0031957934,-0.011717909,-0.014913702,2.6180596,-9.379285,1.3383588
1494365991286,-0.0063915867,0.011717909,0.0,2.6635494,-9.372103,1.448492
1494365991386,-0.0010652645,-0.04474111,-0.00958738,2.6551697,-9.320627,1.447295
1494365991486,-0.010652645,0.0127831735,0.0010652645,2.6491842,-9.333796,1.3491327
1494365991586,0.0,-0.0063915867,0.0,2.6850972,-9.378088,1.4556746
1494365991686,0.0031957934,-0.023435818,0.0053263223,2.681506,-9.329007,1.3958195
1494365991785,0.004261058,0.011717909,0.0063915867,2.6443958,-9.391256,1.365892
1494365991886,-0.0010652645,0.010652645,0.013848438,2.6599581,-9.329007,1.400608
1494365991986,0.0010652645,-0.011717909,-0.0127831735,2.6479871,-9.325416,1.3682863
1494365992086,-0.0031957934,0.014913702,-0.0010652645,2.6001031,-9.358934,1.3263878
1494365992185,-0.0053263223,0.00958738,0.002130529,2.6276364,-9.3733,1.4269443
1494365992286,0.0063915867,-0.023435818,-0.002130529,2.6312277,-9.376891,1.4293385
1494365992386,0.017044231,0.03089267,-0.007456851,2.6084828,-9.408015,1.4401124
1494365992486,0.025566347,0.004261058,-0.0053263223,2.694674,-9.355343,1.4377182
1494365992586,0.015978966,-0.002130529,-0.0031957934,2.6719291,-9.297882,1.3623008
1494365992686,-0.00958738,0.0628506,-0.0053263223,2.6527755,-9.315839,1.3850456
1494365992786,-0.004261058,0.014913702,-0.02130529,2.705448,-9.379285,1.4556746
1494365992885,0.011717909,-0.017044231,-0.008522116,2.6431987,-9.334992,1.4520833
1494365992986,0.010652645,0.015978966,-0.010652645,2.693477,-9.332599,1.3862427
1494365993086,0.002130529,0.007456851,-0.0127831735,2.7377696,-9.348161,1.4305356
1494365993186,0.008522116,-0.058589544,-0.014913702,2.6910827,-9.321824,1.400608
1494365993286,-0.014913702,0.026631612,0.011717909,2.6755204,-9.325416,1.4161704
1494365993386,-0.014913702,-0.015978966,0.014913702,2.7988217,-9.307459,1.4748282
1494365993486,-0.020240024,0.0053263223,0.0053263223,2.6862943,-9.315839,1.4329298
1494365993585,-0.017044231,0.029827405,0.0053263223,2.6898856,-9.338584,1.4580688
1494365993687,-0.013848438,0.0,-0.002130529,2.718616,-9.288305,1.3694834
1494365993785,0.011717909,-0.036218993,-0.02130529,2.6803088,-9.339781,1.3551182
1494365993885,0.011717909,0.0127831735,-0.029827405,2.7329812,-9.31105,1.3694834
1494365993986,0.0031957934,-0.029827405,-0.029827405,2.7736826,-9.344569,1.4101849
1494365994085,0.0127831735,-0.034088463,-0.01917476,2.731784,-9.333796,1.4508862
1494365994186,0.002130529,0.027696876,0.018109497,2.8754363,-9.356541,1.4580688
1494365994285,0.013848438,-0.0010652645,-0.008522116,2.7856536,-9.242816,1.3910311
1494365994386,0.014913702,-0.0031957934,-0.008522116,2.7964275,-9.294291,1.3551182
1494365994485,-0.002130529,0.020240024,-0.002130529,2.7964275,-9.305065,1.460463
1494365994586,0.0127831735,-0.0063915867,-0.014913702,2.815581,-9.330204,1.5251064
1494365994685,0.024501082,-0.0010652645,-0.02130529,2.8921957,-9.26197,1.4760253
1494365994785,0.0031957934,0.01917476,-0.022370555,2.8658595,-9.340978,1.4520833
1494365994886,0.002130529,0.008522116,-0.018109497,2.8179753,-9.241618,1.5406688
1494365994986,0.00958738,0.027696876,0.0,2.858677,-9.320627,1.496376
1494365995086,0.015978966,0.007456851,-0.0010652645,2.9137435,-9.295488,1.5286977
1494365995186,-0.004261058,0.029827405,0.0031957934,2.908955,-9.276335,1.5143325
1494365995286,0.008522116,-0.002130529,-0.0063915867,2.8167782,-9.269152,1.5622166
1494365995386,0.00958738,0.026631612,0.02130529,2.8323407,-9.277532,1.5514427
