timestamp,gyro-alpha,gyro-beta,gyro-gamma,accel-x,accel-y,accel-z
1494173608410,-0.28123474,0.12783813,0.63916016,3.5511017,-11.168213,1.7430115
1494173608509,-0.36857605,-0.26844788,1.2602081,3.5846252,-13.382858,0.6153412
1494173608609,-0.2471466,0.8213196,-0.113983154,0.29258728,-9.118774,0.24902344
1494173608709,0.0095825195,-0.9523468,1.034378,1.3675842,-7.270462,3.7589264
1494173608809,-0.05859375,-0.004257202,1.3273163,4.192749,-6.171524,-0.50035095
1494173608910,0.17469788,1.3049469,1.2687225,2.4162445,-9.954361,3.4812012
1494173609009,0.53582764,-3.1265564,-1.1046753,5.3922424,-16.899933,2.9975739
1494173609109,0.56033325,2.77182,-2.1614227,3.476883,-10.6008,2.0231323
1494173609210,1.0578003,2.1443787,-1.5190735,0.88874817,-7.476364,2.7030792
1494173609309,1.1803131,-0.04899597,-1.2495575,1.5303955,-6.3367157,1.0319366
1494173609410,0.700943,-1.0599365,-0.2833557,1.9254456,-10.287155,0.50042725
1494173609509,-1.1888275,-2.0602264,1.5307922,2.5263824,-11.213715,1.9991913
1494173609609,-1.25914,0.89482117,1.6192017,2.2390747,-12.3246155,2.8491364
1494173609710,-0.26098633,-1.2687225,0.3536682,1.4011078,-4.69429,2.923355
1494173609809,-0.2471466,-1.2250519,2.1763306,3.768982,-6.997513,1.642456
1494173609910,-0.15660095,-0.349411,0.66578674,7.7912292,-16.009293,5.0039062
1494173610009,1.0247803,-0.33662415,-1.6362457,5.219864,-11.410034,2.7677307
1494173610109,0.9938965,1.8429108,-1.9781952,2.5311737,-10.684586,1.5778046
1494173610210,1.1376953,1.2154694,-2.516159,1.4418182,-6.152359,0.85476685
1494173610310,0.93530273,0.36964417,-1.2996216,1.7458801,-8.620789,1.4150085
1494173610409,-0.05432129,-1.2708588,0.36325073,1.618988,-10.897675,1.4413452
1494173610510,-0.923584,0.012786865,2.3766022,3.5175781,-12.1905365,2.990387
1494173610609,-0.7712555,-1.5606079,1.1259918,1.8344574,-6.5617676,4.1970673
1494173610709,-0.58270264,-0.38775635,2.277542,4.6524353,-7.56015,1.5251312
1494173610810,-0.52197266,0.6082611,2.0005646,6.1990967,-12.398834,4.7764587
1494173610909,0.36538696,-0.5507355,-0.95448303,5.473648,-12.851349,2.317627
1494173611009,0.26205444,1.7438354,-1.8769989,4.185562,-10.619949,1.1755829
1494173611110,0.9331665,2.8794098,-2.5683594,1.1401367,-8.161102,1.5538635
1494173611210,1.3337097,0.080963135,-2.405365,0.9342346,-6.9807587,1.5562592
1494173611309,0.6466217,-0.7211914,-0.22050476,2.1193695,-11.005417,0.9074402
1494173611410,-1.5073547,-1.113205,1.9973755,2.2103424,-9.286377,1.2905121
1494173611509,-1.7725983,2.230667,2.6088257,2.3659668,-12.176178,1.5514679
1494173611609,-0.85754395,-1.896164,0.6316986,1.7769928,-5.3503113,3.251358
1494173611710,-0.58802795,-1.4168091,1.9813843,5.353943,-9.609589,1.8531494
1494173611809,0.07563782,0.37817383,-0.3675232,4.5303345,-15.5855255,5.5306396
1494173611910,1.4508972,0.09161377,-1.7928467,3.3045044,-12.417999,1.8196259
1494173612009,1.3028259,1.4285126,-2.0847168,1.7195435,-10.081253,1.4341583
