timestamp,gyro-alpha,gyro-beta,gyro-gamma,accel-x,accel-y,accel-z
1494353346934,0.0095825195,-0.4697876,0.09587097,-0.61001587,-1.4740906,10.398056
1494353347033,0.16725159,-0.9715271,0.0063934326,-0.02583313,-0.2147522,10.357346
1494353347133,-0.43463135,-0.38989258,0.20133972,2.7993164,-1.6656342,10.632675
1494353347233,-0.5006714,0.12783813,0.04473877,2.8974915,-1.2370758,9.555298
1494353347333,-0.34513855,0.100128174,0.042617798,2.0475464,-1.9720917,8.609589
1494353347434,-0.2503357,0.255661,-0.030899048,1.9254456,-2.249817,8.868149
1494353347534,-0.042617798,0.269516,0.07670593,1.2430878,-2.1492615,9.574448
1494353347633,-0.026626587,-0.041549683,0.29507446,1.4441986,-2.2402344,10.187363
1494353347733,-0.17897034,0.12463379,0.33769226,1.2287292,-3.6600037,11.564026
1494353347834,0.3675232,0.113983154,0.52731323,0.9126892,-4.538681,9.200943
1494353347933,0.15872192,-0.07670593,0.4186554,0.09387207,-2.8675232,7.821884
1494353348034,0.05859375,-0.47190857,0.69348145,0.08430481,-2.5371246,8.018219
1494353348133,-0.017044067,-0.5944214,0.36645508,0.7618561,-2.048706,8.9734955
1494353348234,0.026626587,-0.47616577,0.48469543,-0.2580719,-2.3743134,10.618317
1494353348333,0.36538696,-0.50920105,0.3536682,0.96536255,-1.4142456,10.577621
1494353348433,0.1725769,-0.50920105,0.50813293,3.7905273,-3.8994293,10.4435425
1494353348534,0.22796631,-0.33876038,0.17364502,3.8479767,-2.3336182,8.204956
1494353348633,-0.052200317,-0.3728485,0.22903442,2.2702026,-2.5514832,8.022995
1494353348734,-0.08735657,-0.21092224,0.39308167,2.8352356,-1.9673004,7.7117615
1494353348833,-0.03727722,-0.08628845,0.687088,2.591034,-2.4030457,9.16983
1494353348934,-0.15020752,-0.22264099,0.79255676,3.5080109,-2.4581146,9.713303
1494353349033,-0.07989502,-0.73716736,1.1398315,3.670807,-4.7038727,10.39566
1494353349133,0.3217163,-0.30786133,0.7701874,3.2494354,-4.9720306,8.815475
1494353349234,0.28123474,-0.43249512,0.48576355,2.7753754,-3.0853882,7.54895
1494353349333,0.38136292,-0.71798706,0.60720825,2.9980469,-3.7462006,7.4076996
1494353349433,0.44102478,-0.9853668,0.3259735,3.2015533,-2.5945892,7.5154266
1494353349534,0.22796631,-1.4093475,0.6593933,4.3555603,-2.8675232,8.291153
1494353349633,0.23010254,-1.7427673,0.96406555,6.220642,-2.7669678,7.8434296
1494353349734,0.3675232,-0.3249054,0.80641174,7.9707947,-5.1252594,8.303131
1494353349833,0.64234924,0.6327667,-0.015975952,6.292465,-3.5259247,8.085251
1494353349933,0.70947266,0.74035645,-0.0980072,4.999588,-3.3343964,6.1124268
1494353350034,0.21624756,0.7787018,0.33236694,4.278946,-2.855545,6.6128235
1494353350133,-0.0053253174,0.69348145,0.62957764,4.168808,-2.9632874,8.078064
1494353350234,0.15020752,0.38136292,0.7563324,4.13768,-3.5738068,9.349396
1494353350333,0.16404724,-0.34088135,0.96939087,4.391464,-4.6799316,10.141876
1494353350433,0.8287811,-0.08522034,0.49320984,3.7450256,-5.3119965,8.882523
1494353350534,0.63809204,-0.21731567,0.4474182,2.1169739,-1.6321106,7.096451
1494353350633,0.38456726,-0.15126038,0.6402283,2.7921448,-2.3958588,8.008636
1494353350733,0.36112976,-0.35473633,0.24394226,2.2510529,-1.0575104,8.37735
1494353350833,-0.047943115,-0.6838989,0.4537964,3.773758,-1.9601135,8.580856
1494353350934,-0.33769226,-1.4061432,0.7776489,4.8942566,-3.585785,9.584015
1494353351033,0.08735657,-2.8655548,0.558197,6.3571014,-4.7661285,5.6168365
