timestamp,gyro-alpha,gyro-beta,gyro-gamma,accel-x,accel-y,accel-z
1494353745694,0.3249054,-0.14700317,0.50387573,4.6811676,-4.3591156,7.4364166
1494353745793,0.13209534,0.036224365,0.42930603,3.6372986,-4.567398,7.8194885
1494353745894,0.17576599,-0.16297913,0.45167542,3.5128021,-4.749359,8.173843
1494353745993,0.06817627,0.059661865,0.27270508,3.0291595,-4.289673,8.125946
1494353746094,-0.059661865,0.07563782,0.39201355,2.109787,-4.6799316,7.8266754
1494353746193,-0.34088135,-0.18322754,0.78616333,2.3659668,-4.5721893,7.0868683
1494353746294,-0.46658325,-0.42930603,1.1057434,3.2135162,-6.7509155,8.0325775
1494353746393,-0.20559692,-0.15979004,0.6913605,2.9262085,-6.765274,7.366989
1494353746494,-0.26205444,-0.43995667,0.829834,1.9374084,-6.274475,6.780411
1494353746593,-0.23010254,-0.43249512,0.84687805,2.3132935,-6.638382,6.9575806
1494353746693,-0.2780304,-0.41012573,0.8362274,2.5766602,-6.863449,7.015045
1494353746793,-0.3217163,-0.18962097,0.74461365,1.9493866,-7.2177887,6.5218353
1494353746894,-0.0745697,-0.28868103,0.2237091,2.2869568,-7.8570404,6.7564697
1494353746993,0.080963135,0.23329163,-0.16192627,1.3244934,-7.562546,6.524231
1494353747094,0.07670593,0.16511536,-0.22583008,1.4322357,-6.968796,6.0525665
1494353747193,-0.04473877,0.116119385,-0.019180298,0.7427063,-7.265671,6.5098724
1494353747294,-0.07670593,-0.11505127,0.24182129,0.7546692,-7.1818695,6.8618164
1494353747393,-0.3057251,0.043670654,0.71266174,1.2909698,-7.3087616,6.3446655
1494353747493,-0.35792542,-0.2545929,0.68496704,0.8552246,-8.414886,5.430084
1494353747594,-0.015975952,-0.31425476,-0.17790222,1.7123566,-9.3582,5.339096
1494353747693,0.046875,0.06817627,-0.34620667,1.1640778,-8.965546,3.986374
1494353747794,0.2748413,0.4591217,-1.0237122,1.994873,-9.525803,4.4676056
1494353747893,0.43995667,0.41333008,-1.3507538,2.7490387,-9.18103,5.011093
1494353747994,0.33662415,0.33769226,-1.7502289,3.3332367,-8.173065,6.4595947
1494353748093,0.36857605,0.4079895,-2.4618225,3.3571777,-7.1411743,7.5417633
1494353748194,0.18641663,0.13316345,-2.1614227,1.9685364,-5.546631,7.9775085
1494353748293,-0.25672913,0.28123474,-0.8053436,-0.13357544,-4.3950195,6.859421
1494353748394,-0.48895264,-0.31744385,0.76272583,1.7530518,-3.9089966,8.480301
1494353748493,-0.63916016,0.8000183,1.1057434,2.1433105,-3.6791534,8.920822
1494353748594,-0.37390137,-0.0010681152,1.6202698,2.1457062,-5.745346,6.4188843
1494353748694,-0.5805664,-0.56459045,2.1070862,1.595047,-7.390167,5.7437286
1494353748793,-0.29507446,-1.6980286,2.0133514,1.7937622,-10.086044,5.1188354
1494353748893,-0.19813538,-0.4506073,1.1994934,1.0419769,-10.064499,3.907364
1494353748994,0.051132202,0.34513855,-0.020233154,2.7466583,-9.422852,3.840332
1494353749094,0.2972107,0.08203125,-1.1142731,3.9126282,-8.568115,3.5626068
1494353749193,0.28549194,0.38775635,-1.8887177,4.659622,-10.454742,4.2186127
1494353749294,0.2833557,0.49002075,-2.6407928,5.0019836,-9.403687,5.2816467
1494353749393,0.21305847,0.46446228,-3.0455933,4.501602,-7.409317,6.3590393
1494353749494,0.20240784,0.116119385,-2.8144226,5.1552124,-5.242569,5.935257
1494353749593,0.1448822,0.16725159,-1.7555542,4.6500397,-3.0973663,5.137985
1494353749694,0.13209534,0.26524353,0.03302002,3.8144684,-2.7669678,5.8227234
1494353749793,-0.6082611,0.36325073,1.5201263,4.1903534,-3.88266,8.362976
1494353749894,-0.6828308,0.59228516,2.4650269,3.3451996,-3.9592743,7.8793488
1494353749993,-0.41226196,-0.7307739,2.7462463,2.512024,-4.4333344,6.045395
1494353750094,-0.54541016,-1.2431641,3.185135,2.9214325,-6.6407776,5.9328613
1494353750193,-0.36218262,-1.5009613,2.6652985,4.4345703,-9.69339,3.6152802
1494353750294,-0.3302307,-0.0021362305,0.5336914,3.500824,-11.357361,3.100525
1494353750393,0.14060974,1.1909637,-1.9249268,4.3483734,-11.615936,3.1364288
1494353750494,0.45167542,1.0428925,-3.0498505,4.484848,-10.02858,4.685486
1494353750593,0.29614258,0.46232605,-2.8261414,4.422592,-7.89534,3.7828674
1494353750694,0.38243103,0.10758972,-2.7057648,5.7681274,-6.8059845,4.4101562
1494353750794,0.94488525,-0.2833557,-2.275406,5.9548798,-4.7613373,5.6718903
1494353750893,0.9534149,-0.38562012,-0.8053436,4.9181976,-3.0399017,6.1028595
1494353750994,0.3536682,-0.10119629,0.46125793,4.21669,-2.4341736,7.9224396
1494353751093,0.11291504,-0.08522034,1.3805847,6.2541504,-3.0853882,6.8618164
1494353751194,0.15232849,0.5443573,2.405365,3.1129608,-2.1755981,8.183411
1494353751293,0.015975952,-0.018112183,2.5332031,3.2901306,-2.6520386,7.671051
1494353751394,-0.2268982,0.41651917,2.9241486,4.9684753,-5.170746,7.7045746
1494353751494,-0.017044067,-0.36538696,2.3680878,5.880661,-9.667053,4.6399994
1494353751593,-0.0980072,0.16404724,0.8554077,3.038742,-8.984711,4.501129
1494353751693,0.03515625,-0.10865784,0.19281006,3.6301117,-10.433197,4.5131073
1494353751794,0.30360413,0.46125793,-1.5371704,5.2102814,-9.461151,3.3088226
1494353751894,0.25886536,0.018112183,-2.3872528,6.2350006,-8.005478,4.7980194
1494353751993,0.123565674,0.055389404,-2.8762207,6.869461,-6.839508,5.0805206
1494353752094,0.2311554,-0.08522034,-2.834671,5.746582,-6.2481384,6.2608643
1494353752193,0.020233154,-0.431427,-2.5044403,5.8112335,-2.4748688,4.951248
1494353752294,0.5763092,-0.06604004,-1.4082794,6.2541504,-0.4038849,6.6175995
1494353752393,0.316391,0.49427795,0.10972595,3.6013794,-0.19319153,6.3135376
1494353752493,-0.49534607,0.37496948,1.5190735,4.185562,-2.2138977,7.2065735
1494353752594,-0.88949585,0.316391,2.3212128,3.8192596,-2.3791046,8.667038
1494353752693,-0.6753845,-0.6636658,2.2967072,3.670807,-3.2721405,8.487473
1494353752794,-0.5432892,-0.020233154,2.5864563,3.8934784,-4.993576,6.6535187
1494353752894,-0.4537964,-0.17790222,2.3744812,3.3930817,-7.4260864,5.3247375
1494353752993,-0.48895264,-0.4079895,1.4125366,2.638916,-9.468338,4.7357635
1494353753094,-0.34301758,0.28656006,0.4239807,1.5064545,-10.234482,3.95047
1494353753193,0.1768341,0.44207764,-0.68496704,3.5917969,-10.361374,4.309601
1494353753293,0.51239014,0.34194946,-1.6532898,4.070648,-9.705368,4.1970673
1494353753394,0.54008484,0.23754883,-2.1987,5.054657,-9.386932,4.824356
1494353753494,0.42823792,0.038345337,-2.5097656,6.184723,-7.445236,4.60408
1494353753593,0.5518036,-0.029830933,-2.6993866,7.039459,-5.1420135,4.8937836
1494353753694,0.7787018,-0.35153198,-2.436264,6.457657,-2.4174042,4.874634
1494353753793,0.5496826,0.3067932,-0.7744446,4.319641,-1.5411377,6.5745087
1494353753894,-0.3206482,0.6593933,0.8724518,2.528778,-1.1221466,7.3478394
1494353753994,-1.3603363,0.7819061,2.1933746,6.110504,-4.404602,9.181793
1494353754093,-0.87564087,0.9779053,1.6692657,3.9126282,-3.2721405,7.496277
1494353754194,-0.16618347,-0.29400635,1.6639404,2.4976501,-5.10849,8.011032
1494353754293,-0.43569946,-0.7062683,1.7417145,3.469696,-6.1691284,7.15152
1494353754394,-0.44314575,-0.3717804,1.8652802,1.9278412,-7.330307,7.0317993
1494353754493,-0.23968506,-0.74461365,1.3166656,2.9693146,-9.068497,5.820343
1494353754594,0.10758972,-0.16725159,0.21838379,2.5239868,-9.817886,5.602463
1494353754693,0.61572266,0.029830933,-1.2484894,4.410614,-8.56572,4.551407
1494353754794,0.43675232,0.33129883,-1.9771271,6.136841,-7.2369385,4.357483
1494353754893,0.31425476,0.31851196,-2.675949,6.5701904,-7.1746826,5.6168365
1494353754993,0.19174194,-0.05859375,-2.9486542,7.448868,-6.6407776,5.7006226
1494353755094,0.31532288,-0.19281006,-2.708969,7.137619,-3.4971924,6.019058
1494353755193,0.17364502,0.1725769,-2.213623,6.0195312,-1.2059479,4.549011
1494353755293,0.004257202,0.23435974,-0.6444855,4.3531647,0.07255554,5.121231
1494353755394,-0.47084045,-0.080963135,0.8287811,4.1735992,-0.6600647,6.6535187
1494353755494,-1.0865631,0.26631165,1.8833923,5.413788,-1.550705,9.370941
1494353755593,-1.0620728,0.7574005,2.359558,3.4122314,-3.2242584,8.307907
1494353755694,-1.2058868,-0.4697876,2.6983185,3.2685852,-6.3151703,8.149887
1494353755793,-1.0354309,-0.030899048,2.7345276,3.0531158,-8.905701,7.908081
1494353755894,-0.10758972,-0.06285095,1.5659332,3.0100098,-8.946396,5.152359
1494353755994,0.33769226,0.06604004,0.06498718,3.2350616,-8.68782,4.070175
1494353756094,0.27163696,0.24926758,-1.0673981,3.8551636,-8.343063,4.343109
1494353756193,0.84155273,0.08308411,-2.5694122,6.596527,-8.570511,5.3558655
1494353756294,0.63809204,0.16404724,-3.471695,6.1033173,-6.8921814,6.9144897
1494353756393,0.5816345,0.020233154,-3.3864746,5.686737,-4.9744263,8.28157
1494353756494,0.87564087,-0.06604004,-2.803772,4.3316193,-3.8060455,8.47551
1494353756593,0.5486145,-0.042617798,-1.4892426,4.0921936,0.3191681,5.777237
1494353756694,-0.14167786,0.1491394,0.10333252,4.477661,1.9328461,5.0685577
1494353756793,-0.47297668,0.29614258,0.83836365,6.6539917,2.1052399,6.133972
1494353756894,-0.08947754,-0.0063934326,1.2857666,6.318802,0.35986328,7.501068
1494353756994,-0.7062683,0.21411133,1.833313,6.828766,-2.704712,9.272781
1494353757093,-1.2207947,0.116119385,1.3656616,4.101776,-3.7821045,7.80513
1494353757193,-0.654068,-0.047943115,1.4988251,3.38591,-3.88266,9.7994995
1494353757294,-0.37390137,-0.11824036,1.4178619,2.5886383,-4.744568,7.8075256
1494353757393,-0.4537964,-0.1725769,1.7725983,1.9972687,-6.602478,7.678238
1494353757494,0.10865784,-0.6029358,1.7651367,1.7841797,-9.013443,6.9144897
1494353757593,0.055389404,-0.18215942,1.1227875,1.5591278,-7.3350983,6.4188843
1494353757694,0.042617798,0.07775879,0.60614014,3.2997131,-8.074905,6.634369
1494353757793,0.48469543,-0.20666504,-0.18322754,4.683563,-8.673462,6.2489014
1494353757894,0.8032074,-0.19494629,-1.2431641,4.901428,-7.208206,5.6455536
1494353757993,0.79681396,-0.29081726,-1.9750061,6.1871185,-6.633606,6.5984497
1494353758094,0.71266174,-0.39308167,-2.45224,5.83757,-4.909775,6.746887
1494353758193,0.71798706,-0.046875,-2.6343994,6.1440277,-3.444519,8.28157
1494353758294,0.989624,0.02130127,-1.9771271,4.010788,-2.187561,8.21933
1494353758393,0.59654236,-0.13209534,-0.9853668,3.045929,-0.006454468,6.0238495
1494353758494,-0.40161133,-0.14381409,1.1238556,3.666031,0.64956665,6.5888824
1494353758593,0.07670593,-0.21731567,1.6010895,4.8080597,-0.47331238,9.421219
1494353758693,0.007461548,-0.48788452,2.4895172,4.338791,-1.545929,8.949554
1494353758793,-0.5901489,0.53157043,2.5576935,3.4744873,-2.1803894,8.327072
1494353758894,-0.98857117,0.45700073,2.7899323,3.6971436,-5.807602,8.942383
1494353758993,-0.76911926,-0.3291626,2.4671478,2.607788,-7.979141,7.623169
1494353759094,-0.2705841,-0.61465454,1.8556976,0.82888794,-8.702194,6.9144897
1494353759193,0.0053253174,-0.15446472,0.97257996,1.030014,-8.826691,6.469162
1494353759294,0.33236694,-0.0053253174,0.20985413,1.7075653,-9.817886,6.2057953
1494353759393,0.9022827,1.2857666,-0.91825867,2.3994904,-10.193771,5.7197723
1494353759494,0.9331665,1.8546295,-1.8929749,2.8950958,-8.208984,6.9647675
1494353759593,1.113205,0.043670654,-2.133728,4.0012054,-5.6519775,7.264038
1494353759694,1.1685944,-0.9384918,-2.1102905,4.719467,-4.2992554,7.678238
1494353759793,1.2303772,-1.8130798,-2.022934,7.0131226,-2.2641754,6.730133
1494353759894,1.3155975,-0.923584,-1.770462,5.861511,-1.0191956,7.5681
1494353759993,1.0311737,-0.73609924,-1.1014862,3.9054413,0.6016846,7.113205
1494353760094,0.15553284,0.059661865,0.8234558,2.9501648,-0.45176697,6.9336395
1494353760193,-0.68922424,0.38775635,1.1313171,5.504776,-1.4022675,7.9535675
1494353760294,-0.6231842,0.71691895,1.9100189,4.616516,-2.8699188,8.911255
1494353760393,-0.8532715,0.3802948,2.340393,2.8615723,-2.7980957,7.9918823
1494353760493,-0.75953674,0.052200317,2.564087,3.0243835,-5.4532623,9.437973
1494353760594,-0.66578674,-0.8554077,2.7824707,2.6029968,-6.88739,7.690201
1494353760694,-0.39733887,-1.8823242,2.6983185,4.61174,-11.924789,5.839493
1494353760793,0.050064087,-0.5571289,0.7275696,2.4234314,-9.640717,3.9145508
1494353760894,0.45167542,0.32383728,-0.47190857,5.394638,-9.528183,2.7844849
1494353760993,0.24926758,0.66578674,-1.2623444,4.6644135,-7.7636566,3.785263
1494353761094,0.12463379,0.60614014,-2.2093658,6.4002075,-9.075684,5.5881042
1494353761194,0.43995667,0.51026917,-3.4184265,6.962845,-7.902527,7.639923
1494353761293,0.48362732,-0.3259735,-3.8796997,6.373871,-4.294464,7.8338623
1494353761394,0.6562042,-0.24287415,-3.0679626,3.9940338,-1.4525452,7.113205
1494353761493,0.33662415,0.13955688,-1.3635406,4.073044,-0.035186768,5.595276
1494353761594,-0.28868103,0.10652161,0.44528198,4.429779,-1.0431366,6.3279114
1494353761693,-0.5528717,0.34513855,0.8873596,6.857498,-0.3344574,8.109192
1494353761794,-0.70947266,0.08203125,1.8290558,3.6133575,-0.6911926,6.0238495
1494353761893,-1.242096,-0.0010681152,3.0786133,2.4665222,-3.5666351,6.5816956
1494353761994,-1.4892426,-0.8447571,3.8562622,2.9884644,-7.361435,7.4005127
1494353762093,-0.96513367,-0.9107971,3.5494537,2.3611908,-10.313492,6.9887085
1494353762194,-0.40586853,-1.1078796,2.6546326,0.48413086,-12.643051,4.7908325
1494353762294,0.35792542,-0.49320984,0.7307739,0.47454834,-9.61438,1.8938446
1494353762393,0.3249054,0.27163696,-0.43995667,3.3523865,-9.075684,2.8299713
1494353762493,0.43675232,0.9523468,-1.4466248,3.864746,-9.53537,3.1316528
1494353762594,0.67111206,1.0045471,-2.5555725,4.211899,-9.983093,4.173126
1494353762694,1.368866,0.4537964,-3.837082,5.5550537,-8.3694,6.5529633
1494353762793,1.1398315,-0.44528198,-4.153473,5.322815,-6.3917847,6.718155
1494353762894,0.84155273,0.48576355,-3.2213593,3.9820557,-2.40065,6.0118713
1494353762993,-0.45274353,0.36538696,-1.5137482,3.0435333,-1.119751,5.066162
1494353763094,-2.133728,-0.018112183,0.40480042,3.4553375,-1.49086,5.6886597
1494353763193,-1.9568939,-0.0745697,2.020813,3.8815002,-3.281723,9.047714
1494353763294,-2.020813,-0.017044067,3.0881958,1.6668701,-6.1380005,7.429245
1494353763393,-2.0080261,-0.6093292,3.4322815,1.0539551,-9.736481,8.45874
1494353763494,-0.42610168,-1.2346344,2.5129547,-0.46636963,-11.690155,7.175461
1494353763593,0.8735199,-1.1217194,1.0151978,-1.0577393,-9.214554,6.10524
1494353763694,0.83943176,-0.7978821,0.4271698,-0.18145752,-8.936829,5.5665436
1494353763793,0.34513855,-0.7286377,0.5464783,-1.6586761,-7.854645,5.114044
1494353763894,0.431427,-0.36645508,0.45593262,0.79537964,-8.939224,3.7349854
1494353763993,0.3014679,-0.27696228,-0.17364502,2.1026154,-10.00943,2.6336517
1494353764094,0.43037415,-0.19706726,-1.4860382,4.041916,-10.552902,4.587326
1494353764193,0.714798,0.026626587,-2.9763489,6.1943054,-9.990265,6.8498383
1494353764294,1.2197266,-0.5507355,-3.8626556,5.1288757,-5.527481,7.445999
1494353764394,1.0471497,-1.1398315,-3.5292206,5.3060455,-1.8523865,7.88414
1494353764493,0.6040039,-0.26524353,-2.3616943,2.5215912,-1.6512604,8.106796
1494353764593,-0.68496704,0.2599182,-0.30467224,2.5790558,-1.4333954,8.051727
1494353764694,-1.2378387,0.3217163,0.46339417,6.026703,-0.94976807,7.6973877
1494353764793,-0.5507355,0.36325073,0.9608612,4.2190857,-1.0383453,9.378113
1494353764894,0.028762817,0.0703125,1.7630157,2.8400269,-1.8619537,8.149887
1494353764993,-0.35792542,0.1725769,2.103897,2.729889,-3.0327148,8.609589
1494353765094,-0.79148865,-0.014907837,2.2530365,2.2342987,-4.6320496,8.142715
1494353765194,-1.2772522,-0.9981537,3.0178986,3.3380127,-9.104416,7.869766
1494353765293,-0.48150635,-1.0237122,2.2572937,2.6796112,-9.219345,4.9368744
1494353765394,-0.16511536,-0.028762817,1.5808563,3.998825,-10.409256,3.3016357
1494353765493,0.31425476,0.20559692,0.24075317,3.0890198,-10.287155,3.5338745
1494353765594,0.80641174,0.6529999,-1.2666016,3.4864655,-9.312714,4.3790283
1494353765693,1.017334,0.431427,-2.1784668,4.719467,-8.632751,6.0286255
1494353765794,0.9842987,-0.27270508,-2.8634338,4.78891,-6.3678436,6.959976
1494353765893,1.130249,-1.1430359,-2.7185516,5.9069977,-3.2960815,7.1898193
1494353765994,0.9512787,-0.9331665,-2.6365356,5.480835,-1.6632385,7.3047485
1494353766094,0.3952179,0.07350159,-2.036789,2.310913,-0.83483887,7.1467285
1494353766193,-0.6913605,0.61146545,0.14274597,2.085846,-2.0103912,8.252838
1494353766294,-1.1078796,0.4537964,0.5805664,5.0642395,-2.4054413,8.446777
1494353766393,-1.0546112,0.21092224,1.2271881,3.3284454,-0.94976807,8.149887
1494353766494,-1.561676,0.21411133,1.8588867,2.3899078,-2.9704742,7.3454437
1494353766594,-2.1923218,0.32276917,2.707901,0.94621277,-5.8291473,7.8147125
1494353766693,-1.6937714,-0.99601746,2.3787384,4.0443115,-9.746063,9.22728
1494353766794,-0.37817383,-1.2367706,1.4668732,1.788971,-10.943161,6.8498383
1494353766893,0.73928833,0.07350159,0.18322754,4.0371246,-11.402847,3.8546906
1494353766994,1.6117401,0.6029358,-1.3188019,3.4170227,-10.787537,3.6535797
1494353767093,1.8876495,0.93955994,-2.2391815,5.5430756,-9.233704,4.8554688
1494353767194,1.4445038,-0.6562042,-3.0370636,5.133667,-5.223419,5.978348
1494353767293,0.53582764,-1.036499,-2.9113617,3.8096771,0.21859741,6.564926
1494353767394,0.07989502,0.47937012,-2.3989716,6.359497,1.6096344,5.856247
1494353767493,-0.49855042,-0.3994751,-1.8493042,8.861435,-2.206726,6.160309
1494353767594,-0.5347595,-0.51026917,-1.3614044,7.4201355,-0.19558716,5.2529144
1494353767693,-0.15660095,-0.28974915,-1.0109406,5.2533875,0.64237976,6.562546
1494353767794,-0.5028076,0.26205444,0.54222107,3.555893,-0.7271118,8.185806
1494353767893,-1.0418243,0.42930603,0.6785736,4.4082336,-0.73428345,8.353409
1494353767994,-0.73184204,0.4506073,1.1366425,3.2997131,-1.0120087,9.294327
1494353768093,-1.0428925,0.31532288,1.735321,2.5886383,-2.673584,7.774002
1494353768194,-1.5733948,0.12463379,2.5939178,1.3220978,-4.6631775,6.9815216
1494353768293,-1.784317,-0.9001465,2.960373,2.298935,-8.003082,6.722946
