timestamp,gyro-alpha,gyro-beta,gyro-gamma,accel-x,accel-y,accel-z
1494170152528,-1.3880463,-0.6689911,0.93637085,2.7801666,-7.1172333,7.6734467
1494170152627,-1.0940247,-1.9920502,1.31987,3.9150238,-9.063721,5.3726196
1494170152728,-0.8511505,-0.3014679,0.7275696,4.9469147,-8.984711,3.2848816
1494170152827,-0.97257996,1.6628723,0.33129883,4.7242584,-9.169067,3.3950043
1494170152927,-0.30039978,1.5584869,-0.22157288,4.3316193,-9.588043,3.6679535
1494170153028,0.37071228,1.179245,-0.98857117,4.1712036,-8.577698,2.3559265
1494170153128,0.46658325,1.3699341,-1.1249237,3.9653015,-9.094833,2.2793121
1494170153227,0.5028076,0.1491394,-1.0215912,3.203949,-9.872955,2.0901642
1494170153327,-0.2705841,-0.349411,-0.33981323,2.820877,-9.365387,2.6528015
1494170153428,-0.3952179,0.81918335,-0.10972595,1.3340759,-8.462769,5.188263
1494170153527,0.4974823,-0.9523468,-0.090545654,0.9055023,-9.18103,4.549011
1494170153628,-0.039413452,-0.61997986,0.93637085,2.552719,-6.564163,2.2290344
1494170153727,-0.76805115,-0.51345825,1.751297,3.409851,-9.037384,2.6288605
1494170153828,-0.6924286,-0.5539398,1.3145294,4.781723,-8.7859955,3.6559753
1494170153927,-0.24287415,-0.19494629,-0.18322754,6.0530396,-12.949509,4.230591
1494170154028,0.16725159,1.3763275,-1.4679413,3.706726,-8.292786,3.1771393
1494170154127,-0.090545654,3.5281525,-0.84687805,3.4290009,-9.367783,2.23143
1494170154228,0.93955994,2.4777985,-1.0652618,2.808899,-10.2057495,2.4349365
1494170154327,1.3582153,0.13209534,-1.514801,2.6317291,-8.697403,1.1707916
1494170154428,0.65727234,-0.35580444,-0.572052,1.994873,-8.165894,1.8866577
1494170154527,-0.57844543,-0.51878357,0.47297668,1.7482758,-9.743668,3.5937347
1494170154627,-1.2282562,-1.275116,1.514801,1.9996643,-9.118774,5.480362
1494170154728,-0.041549683,-1.017334,0.52731323,2.7562256,-9.475525,3.531479
1494170154827,-0.269516,-0.6498108,0.9768524,3.1536713,-7.021454,1.831604
1494170154928,-1.1504822,-0.39733887,1.7225342,4.106552,-9.1618805,2.7509766
1494170155027,-0.5507355,0.34727478,0.35473633,4.4872284,-11.302292,5.114044
1494170155127,0.7712555,-0.7233124,-1.0311737,3.7043304,-9.568893,3.567398
1494170155228,0.3206482,2.1230774,-0.9480896,3.438568,-10.397293,2.018341
1494170155327,0.525177,3.3151093,-1.0375671,2.8735504,-9.001465,1.8938446
1494170155428,1.2538147,0.96299744,-1.1664581,2.105011,-8.750076,1.9584961
1494170155527,1.3081512,-0.5848236,-0.96832275,2.2295074,-8.905701,1.0558777
1494170155628,0.33981323,-1.0599365,-0.38456726,1.8344574,-8.932037,1.4221954
1494170155727,-1.3496857,-1.4040222,1.5073547,1.5782776,-7.9408417,3.6176758
1494170155827,-0.6721802,-1.2847137,1.1526184,2.1840057,-10.272781,5.188263
1494170155928,0.050064087,-1.3113403,0.89482117,3.5630798,-7.775635,1.9489136
1494170156027,-0.8287811,-0.87991333,2.1550293,4.2502136,-8.62558,2.80365
1494170156127,-0.1491394,-0.89056396,0.7659302,5.7322235,-11.781128,5.109253
1494170156228,0.6998749,-0.21411133,-1.116394,5.2030945,-9.588043,3.117279
1494170156327,0.2972107,2.817627,-1.5190735,4.1161346,-10.208145,1.563446
